Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam
"pȯ̭l'i sāɣrəs, ",X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" Ti ńawram tau̯ mȯnt jānı̮ɣmanūu̯ kȯs,",0,A,AV,NoPtcl,npst,irr,none,pfv,H,sg,demnp,act,sp,uniq,strg
" jānı̮ɣmi,",0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 tau̯ taχ lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg
 āꞩ l'aɣali ,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,typid,nonsp,nuniq,nfam
sāń laɣal'i: ,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,typid,nonsp,nuniq,nfam
tuu taχ pȯtərti,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg
 Juw̯ minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" mas χatɒs, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
pinχatɒs: ,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
   minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
χottal' pəl nɔmte patəs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,abst,possnp,ref,sp,uniq,weak
 ań warmal' minas jaɣāɣite nȯ̭pəl,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,ref,sp,uniq,weak
" tɔ̄rəm tuja jemtəs, ",0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,ref,sp,uniq,weak
lȯpta tēls,0,A,AV,NoPtcl,pst,ind,none,pfv,I,mass,barenp,typid,nonsp,nuniq,nfam
"   pum tēls, ",0,A,AV,NoPtcl,pst,ind,none,pfv,I,mass,barenp,typid,nonsp,nuniq,nfam
ńir tēls,0,A,AV,NoPtcl,pst,ind,none,pfv,I,mass,barenp,typid,nonsp,nuniq,nfam
 tau kēlpatenəl pȯrı̮ɣ tēls,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,ref,sp,uniq,nfam
    wȯrt ɔlnut jālasi,0,A,AV,NoPtcl,npst,ind,none,npfv,A,sg,barenp,ref,sp,nuniq,nfam
" Kinsimete pāu̯l jȯrn, mȯꞩ χum pāu̯l jȯrn χɔ̄ntχatɒs",0,A,PV,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
" Urn jɔ̄məs, ",0,A,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
wȯrn jɔ̄məs,0,A,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
" tɔχ ɔ̄leɣt, ",0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg
 ꞩāne lāwi: ,0,A,AV,NoPtcl,npst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
 tɔχ ɔ̄limenəl tuwanəl ti χȯli,0,A,AV,ti,npst,ind,none,pfv,I,sg,dpossnp,ref,sp,uniq,weak
 Jɔ̄ru̮m takwsiɣiɣ jēmti ,0,A,AV,NoPtcl,npst,ind,none,pfv,I,sg,barenp,fam,sp,uniq,strg
    mā pol'ɒs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,mass,barenp,uniq,sp,uniq,weak
 tujt pati,0,A,AV,NoPtcl,npst,ind,none,pfv,I,mass,barenp,typid,nonsp,nuniq,nfam
 wȯrtɔlnut tumajti,0,A,AV,NoPtcl,npst,ind,none,pfv,A,sg,barenp,fam,sp,uniq,strg
 mā ti pɔ̄l'i,0,A,AV,ti,npst,ind,none,pfv,I,mass,barenp,uniq,sp,uniq,strg
χɔntɒs,X,A,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
 āstəs,0,A,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
" ań ꞩāńe kȯna=kwals, ",0,A,AV,NoPtcl,pst,ind,none,pfv,A,sg,dpossnp,top,sp,uniq,strg
"χāl' palt minas, ",0,A,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
" - elmχolas āɣikwe, - lāwi, - ",0,A,V,NoPtcl,npst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
 wȯrn juwət,0,A,V,NoPtcl,npst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
 ta porat UƆƆ χūru̮m pi̮ɣe jōt ɔ̄li,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
UƆƆ lāwi: - ,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
akw ēlmχolas āɣi ɔ̄li,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,uniq,nfam
 ꞩāne lawi: - ,0,A,AV,NoPtcl,npst,ind,none,pfv,A,sg,dpossnp,act,sp,uniq,strg
"ul jȯrulen, ",X,A,V,NoPtcl,npst,imp,neg,npfv,2,sg,zero,act,sp,uniq,strg
takwi wȯrtɔ̄lnut ńawrame nȯ̭pəl lāwi: ,0,A,V,NoPtcl,npst,ind,none,pfv,A,sg,zero,act,sp,uniq,strg
 WƆƆ χūru̮m pı̮ɣe jot juw,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,fam,sp,uniq,strg
    jȯχtəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 ēlmχo las āɣi takwi jānɒs χusapəl wārim ɔ̄li,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
 ꞩańe lāwi: - ,0,A,AV,NoPtcl,npst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
"tiwus āɣikwe, urɣalaχten",0,A,V,NoPtcl,npst,imp,none,npfv,2,sg,zero,act,sp,uniq,strg
 mēn sunmēn naŋ ul tālen,0,A,AV,NoPtcl,npst,imp,neg,pfv,2,sg,zero,act,sp,uniq,strg
 NƆ̄Ɔ̄ χp lāwi - ,0,A,AV,NoPtcl,npst,ind,none,pfv,H,pl,barenp,act,sp,uniq,strg
ɔs ɔ̄li ērəŋ lāwi,0,A,V,NoPtcl,npst,ind,none,npfv,A,mass,zero,ref,nonsp,nuniq,nfam
 WƆƆ χūru̮m pı̮ɣ lawi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,pl,barenp,act,sp,uniq,strg
 Jānı̮ɣ ɔ̄jka lāwi: - ,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,ref,sp,uniq,weak
ēlmχȯlas āɣi ɔ̄li,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,uniq,nfam
 WƆƆ tuwl pı̮ɣe nupəl lāwi: ,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
 l'aɣɒs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 anum tɔ̄nu̮mn lāwum ēlmχolas tı̮ɣ pȱχten,0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,uniq,sp,uniq,strg
    pustēıɣəl kē ɔ̄leɣən,0,A,V,NoPtcl,npst,irr,none,npfv,2,sg,zero,top,sp,uniq,strg
    pȯχten,0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,strg
    ul pȯχten,0,A,V,NoPtcl,npst,imp,neg,pfv,2,sg,zero,top,sp,uniq,strg
 tau pȱχtəs,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg
" pȱχtəs,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" kātaɣe, pȯ̭ŋkaɣe kȯnn nēı̮ɣla sı̮ɣ",0,A,AV,NoPtcl,pst,ind,none,pfv,I,du,possnp,uniq,sp,uniq,weak
 janitētəl kȯnn ti pati,0,A,V,ti,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 UƆƆ lāwi: ,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
"aŋχwsalaχtsəɣ,",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
 Ēlanuw minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 tau sisi ūntɒs,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg
āstesət,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
" Ēlmχolas āɣi lāwi, ",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
am āŋkwum t ꞩānen at tāleɣu̮w,0,A,AV,NoPtcl,npst,ind,neg,pfv,1,sg,pron,act,sp,uniq,strg
 uss pı̮ɣe nupəl lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg
" sun χarten, ",1,A,PV,NoPtcl,npst,imp,none,pfv,2,pl,zero,act,sp,uniq,strg
 juu min mı̮ɣtasət,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
 Juw jȯχtəsət,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
paıɣ ūntəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 WƆƆ ań jȯnɣeɣt,0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,act,sp,uniq,strg
"māχu̮m tēɣt, ",X,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,ref,sp,nuniq,nfam
" kȯlɒl ꞩāńe lāwi: - aɣikwe, lāwi, - ",0,A,AV,NoPtcl,npst,ind,none,pfv,A,sg,possnp,fam,sp,uniq,strg
"jȯla χujeɣən, ",0,A,V,NoPtcl,npst,ind,none,pfv,2,sg,zero,act,sp,uniq,strg
ulmən at juwe,X,A,AV,NoPtcl,npst,ind,neg,pfv,I,sg,possnp,ref,sp,nuniq,weak
"χūru̮m nɔr l'ul'it nɔŋχal' lāpi, ",0,A,AV,NoPtcl,npst,ind,none,pfv,I,abst,zero,typid,nonsp,nuniq,nfam
  akw nɔr l'ul'itn jola ꞩalti ,0,A,V,NoPtcl,npst,ind,none,pfv,I,sg,zero,ref,sp,nuniq,nfam
akw mān pinen,X,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,strg
"V WƆƆ ēkwate, mańe nupəl lāwi: -",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,uniq,sp,uniq,weak
" Ē āɣikwe, manrı̮ɣ at jȯnɣeɣən",0,A,V,NoPtcl,npst,ind,neg,npfv,2,sg,zero,act,sp,uniq,strg
" - am χumus jȯnɣeɣu̮m, ",0,A,AV,NoPtcl,npst,ind,quest,npfv,1,sg,pron,act,sp,uniq,strg
 simm̥ ꞩārɣi,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,uniq,sp,uniq,weak
 Uj ńila ēt tȯu̯lɒs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,ref,sp,uniq,strg
 ań mȯlal WƆ ꞩańe laws: V - ,0,A,AV,NoPtcl,pst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
"aɣ e, lawi, ",0,A,V,NoPtcl,npst,ind,none,pfv,A,sg,zero,act,sp,uniq,strg
"am ńila ētum tȯu̯li, ",0,A,AV,NoPtcl,npst,ind,none,pfv,I,sg,possnp,ref,sp,uniq,strg
ēt kot'l'= pɔrat kȯn-kwalen,0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,strg
 Jan ēt kot'l'n pɔrat kȯna kwals,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg
 Nȯmsi-,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 kȯl alàt suiteı̮ɣ: ,0,A,V,NoPtcl,npst,ind,none,npfv,A,du,zero,act,sp,uniq,strg
ńawrame ꞩuiti,0,A,AV,NoPtcl,npst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
" ꞩańe ꞩuiti,",0,A,AV,NoPtcl,npst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
 ēlmχolas āɣimēn matarən nȯu̯χatās,0,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
 tau saltəs juw,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg
" kȯn kwals, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ꞩane lawi,0,A,AV,NoPtcl,npst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
 - EA at nȱu̯χatas,X,A,AV,NoPtcl,pst,ind,neg,pfv,H,sg,barenp,act,sp,uniq,strg
" juw … juw ꞩaltəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
jȯla χujɒs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" χɔ̄tɒl ɔ̄ls, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,ref,sp,uniq,weak
 χujne pɔra jȯχtəs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,abst,barenp,ref,sp,uniq,weak
" talkwaı̮ɣ jēmti,",0,A,V,NoPtcl,npst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
kȯna kwals,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 tuw  jȯmantɒs ,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
ꞩāne ńawramēntəl suiti,0,A,AV,NoPtcl,npst,ind,none,npfv,A,sg,possnp,act,sp,uniq,strg
 - ńawrame lawi:,0,A,AV,NoPtcl,npst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
" ꞩańe lāwi,",0,A,AV,NoPtcl,npst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
 ꞩańe l'aɣas – E,0,A,AV,NoPtcl,pst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
" āɣimēn, matɒs ul nɔ̄u̯χàtas, mēn pȯrmasanmēn",1,A,AVP,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
 tau̯ juw=ꞩāltəs,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
kȯna = kwals,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ꞩańe lāwi: - ,0,A,V,NoPtcl,npst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
lajen,X,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,strg
 lajim,X,A,V,NoPtcl,pst,evid,none,pfv,2,sg,zero,act,sp,uniq,strg
" Ja ti, aɣikwe, χȯlit ēt ul'jiw tȯtne l'ɔ̄ŋχ pattan minen",0,A,V,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,strg
" ul'jiw tȯtne l  pattam mineɣən, ",0,A,V,NoPtcl,npst,ind,none,pfv,2,sg,zero,act,sp,uniq,strg
" Minas, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
juw ꞩāltɒs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" jol χujas, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
ań ȱ̭lme juwe,0,A,AV,NoPtcl,npst,ind,none,pfv,I,abst,possnp,ref,sp,nuniq,weak
" Ēte χȱ̭jɒs, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,ref,sp,uniq,weak
χɔ̄tale ɔ̄ls,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,ref,sp,uniq,weak
" tɔ̄ru̮w ė̄t'imɒs, ",0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,ref,sp,uniq,weak
χujne pɔra jȯχtəs,0,A,AV,NoPtcl,pst,ind,none,pfv,I,abst,barenp,ref,sp,uniq,weak
 ɔnipe nupəl lāws: = ,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
"ɔnipēkwe, ti ēt minimen, ul'jiu tȯtne l'ɔ̄ŋχ pattan",0,A,V,NoPtcl,npst,ind,none,pfv,1,du,zero,act,sp,uniq,strg
 naŋ taχ sunseɣən ,X,A,AV,NoPtcl,npst,ind,none,pfv,2,sg,pron,act,sp,uniq,strg
matər tɔt tarapati ,0,A,AV,NoPtcl,npst,ind,none,pfv,U,abst,npron,undef,nonsp,nuniq,nfam
