Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,File
" ɔnipe lawi, - ",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
taχsimēn,0,A,V,NoPtcl,npst,ind,none,npfv,1,du,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Mańe lawi, ",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"naŋ tāχu̮mten, ",0,A,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
ɔnipe lawi: - ,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
naŋ tāχu̮mten,0,A,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 mańe tuχu̮mtas,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Jila jȯχtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
raɣàtɒs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Tau̯ juil taχu̮mtaste, ",1,AP,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
ań nē sis kȯt'il't tāra pēlwes,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,barenp,top,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" tau̥ alaste, tuwl",1,AP,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Ań am manər wāreɣu̮m, ",1,A,APV,NoPtcl,npst,ind,quest,pfv,1,sg,pron,act,sp,uniq,strg,U,abst,npron,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
tumajti,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Anꞩw salaste xɔt, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
tau̯ ȱ̭lamane χɔt - aŋχw ɔs,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Mańe ȱ̭lamt nɔŋχ - wasane, ",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
mańe wiste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,possnp,top,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" jān, jȯla tārataste",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 tuu̯ ō̭lumane pintsane tuw̯,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,top,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 Kēlpane ȱ̭lumanen tuu̯ mańiɣtasane,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,top,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 juu̯-minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Juw̯ - jɔ̇χtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
mańe χasap sāiŋ pal tuw - ūntəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 Nȯmsi pȯu̯kꞩi: - ,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
Am tuw jālum l'ɔ̄ŋχu̮m lap-wos wɔ̄tastawe,X,P,PV,NoPtcl,npst,ind,none,pfv,,,,,,,,I,sg,possnp,fam,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Tɔ̄ru̮m āꞩ wɔ̄t wārs, ",1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,uniq,sp,uniq,weak,I,abst,barenp,typid,nonsp,nuniq,nfam,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
tujt pāttəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,barenp,typid,nonsp,nuniq,nfam,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 wası̮ɣ nēmatər at nāŋki,0,A,AV,NoPtcl,npst,ind,neg,npfv,U,abst,npron,undef,nonsp,nuniq,nfam,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 Jeɣ͕pı̮ɣe jȯχtəs juw,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 Jau̯ wil'te tujtı̮ɣlite,1,AP,APV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg,I,sg,possnp,uniq,sp,uniq,weak,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 ēla ɔ̄leı̮ɣ,0,A,V,NoPtcl,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" χɔ̇sa ɔ̄lsı̮ɣ, ",0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
wati ɔ̄lsı̮ɣ,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 ɔ̄limetēn  ńawram ɔꞩsı̮ɣ,1,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,H,sg,barenp,typid,nonsp,nuniq,weak,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" ērı̮ɣ tȯtne χum mȯjt tȯtne χum jānı̮ɣwes, ",0,P,AV,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,pron,uniq,sp,uniq,nfam,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
kȯn jȯnɣasan jānitı̮ɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 UƆƆ ńawramətən jonɣeɣt,0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,uniq,sp,uniq,weak,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 Jau̯ ꞩaralaχti,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 āꞩe χuntali ,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
ulta wes ńawramt laweɣt: -,0,A,AV,NoPtcl,npst,ind,none,pfv,H,pl,barenp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" mȯꞩ, nī jeɣpı̮ɣēntəl ńawram ɔꞩsı̮ɣ",1,A,APV,NoPtcl,pst,ind,none,pfv,H,du,barenp,fam,sp,uniq,strg,H,sg,barenp,typid,nonsp,nuniq,weak,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
    tau̯ ań moꞩχum tumajti:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 am jeɣāɣim tau̯ ul ɔ̄li,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 Juw-minas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Juw-ꞩaltəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
tumajti,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 Kitı̮ɣlaχti,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 am jeɣāɣim χōtal' minas,0,A,AV,NoPtcl,pst,ind,quest,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Jau̯ lāwi, ",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
am at wāɣlum,1,AP,AV,NoPtcl,npst,ind,neg,npfv,1,sg,pron,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 χȯttal wɔ̄tastawes,0,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,zero,act,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 tau̯ lāwi - ,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"ȯtnako, jäɣaɣi naŋ ul ɔ̄leɣən",0,A,AV,NoPtcl,npst,ind,none,npfv,2,sg,pron,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Manurəl WƆƆ ńawramt lāweɣt, ",0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
am χɔ̭̇nt lasum,0,A,AV,NoPtcl,pst,ind,none,pfv,1,sg,pron,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" tau ūntəlmatɒs, nēte, ",0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
sȯp=ńelmtal ūntəlmatɒs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 mȯꞩ χum tumajti: - L'ul',0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Tajaχ taχ nē lāwi, ",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,typid,nonsp,nuniq,nfam,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"χum lāwi,  ",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,typid,nonsp,nuniq,nfam,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
mȯꞩ χum jaɣāɣi tēntəl ɔ̄leı̮ɣ,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,barenp,fam,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" nɔŋχal' l'ul'es, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"sāɣrap wis, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"kāsaj wis, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
kiw talu̮p wis,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 untəs kwtχatunkwe,0,INF-A,VP,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" mȯrtsı̮ɣ kiwtɒs, ",X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,du,pron,act,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
āstəs,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" nɔ̄ŋχal' l'ul'is,",0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 jaɣāɣi=nete pȯ̭ŋk sɔ̄we puwəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,possnp,ref,sp,uniq,weak,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 kȯna=kwaltəste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" pāu̯l kan jola=pinɒste, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"sāɣrape wis, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
kāsaje wis,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" manekēm jɔ̄re jɔχtəs, ",0,A,AV,NoPtcl,pst,ind,none,pfv,I,abst,possnp,typid,nonsp,nuniq,nfam,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"pȯ̭l'i sāɣrəs, ",X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
jaktəste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" piɣriꞩe puwəste, ",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,possnp,fam,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"kȯt tȯtaste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
