Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
" rak ke wāri,",1,A,PV,NoPtcl,npst,irr,none,npfv,I,mass,barenp,typid,nonsp,nuniq,nfam
" wɔ̄t ke wāri,",1,A,PV,NoPtcl,npst,irr,none,npfv,I,mass,barenp,typid,nonsp,nuniq,nfam
 tuwl mań mȯꞩ ne χāsap sajŋ paln ūnttawes,X,P,PV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg
" pı̮ɣ ɔꞩme jui palt, χumite lauljuwe,",0,P,PV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
 tuwl pɔχɒn pȯswes,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" kātaɣe manrı̮ɣ sāɣrɒpəl sāɣrapawesəɣ,",X,P,PV,NoPtcl,pst,ind,quest,pfv,I,du,possnp,act,sp,uniq,strg
 samaɣe manrı̮ɣ puwtwesı̮ɣ?,X,P,PV,NoPtcl,pst,ind,quest,pfv,I,du,possnp,act,sp,uniq,strg
" pa-almawes,",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
" ānan χȱnwes,",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
" tɔt ti tajwes, ań nē",X,P,V,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" Luv ꞩermattime,",X,P,PV,NoPtcl,pst,evid,none,pfv,A,sg,barenp,act,sp,uniq,strg
 Ta lapajaptuves ,X,P,V,ta,pst,ind,none,pfv,A,sg,zero,act,sp,uniq,strg
 ti itimavem,0,P,V,ti,npst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap
 ajtave,X,P,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 Toh elumhplas olime,X,P,PV,NoPtcl,pst,evid,none,pfv,H,sg,barenp,typid,sp,nuniq,nfam
 uprum vor pum hol̩tol olime,X,P,V,NoPtcl,pst,evid,none,pfv,H,sg,zero,act,sp,uniq,strg
" hurmintьɧ san̩ka palьl majvesum,",X,P,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap
 sōl̩ elmholas alime,X,P,PV,NoPtcl,pst,evid,none,pfv,H,sg,barenp,ref,sp,uniq,weak
" ur pum vor pum hol̩tьl, sōl̩, alime",X,P,V,NoPtcl,pst,evid,none,pfv,H,sg,zero,act,sp,uniq,strg
 hurmintьɧ san̩ka palьl majvesum,X,P,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap
" - sopluvum saɧrapaves,",X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,uniq,sp,uniq,weak
 Ti haniꞩtaves,X,P,V,ti,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 Lui hum pьɧ luve hurum usil palitna juvle totves,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,possnp,act,sp,uniq,strg
 - am jorum tot on̩save,X,P,PV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,uniq,sp,uniq,weak
 Puŋke pinves,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,act,sp,uniq,strg
" Ajtves,",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
 sartves,X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
 Siraje majves,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,act,sp,uniq,strg
 Sьraje majves,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,dpossnp,act,sp,uniq,strg
" an̩ katum luvtaŋkve patves,",X,P,PV,NoPtcl,pst,ind,none,pfv,I,du,possnp,act,sp,uniq,strg
" Nalьl majves,",X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" vil̩t jat juvnitaves,",X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,top,sp,uniq,strg
 ti alaven,X,P,V,ti,npst,ind,none,pfv,2,sg,zero,act,sp,uniq,sap
 ti johtuvesьn,X,P,V,ti,pst,ind,none,pfv,2,sg,zero,act,sp,uniq,sap
 at taratave,X,P,V,NoPtcl,npst,ind,neg,npfv,H,sg,zero,top,sp,uniq,strg
Jaɧpiɧe kantmajaves,0,P,PV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
Jomas <ū>lamil mastawe,X,P,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
to<ɔ̄>ril pin<ł>tawe,X,P,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
kolkann voꞩkasaves.,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
"juv teve,",X,P,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
juv t<ē>ve,X,P,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
Kona lakasane kanomt alavem,X,P,V,NoPtcl,npst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap
i kona hartaven.,X,P,V,NoPtcl,npst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap
naŋ kinsaŋkv<e> pataven.,0,P,PV,NoPtcl,npst,ind,none,pfv,2,sg,pron,act,sp,uniq,sap
"kisaven,",X,P,V,NoPtcl,npst,ind,none,npfv,2,sg,zero,act,sp,uniq,sap
"ho<ɔ̄>ntaven,",X,P,V,NoPtcl,npst,ind,none,pfv,2,sg,zero,top,sp,uniq,sap
<ū>sьŋ <ō>tьr <ō>jka piɧь<i>n supil vos mastaven.,1,P,AV,NoPtcl,npst,ind,none,pfv,2,sg,zero,top,sp,uniq,sap
Supil mastaven,X,P,V,NoPtcl,npst,ind,none,pfv,2,sg,zero,top,sp,uniq,sap
<ū>sьŋ <ō>tьr <ō>jka man̩ piɧьn husah tall noss os ałntaven.,1,P,AV,NoPtcl,npst,ind,none,pfv,2,sg,zero,top,sp,uniq,sap
hasap s<ā>[j]<ı̮>ŋ p<ā>lŋ<n> <ū>nt<t><ā>ven.,X,P,V,NoPtcl,npst,ind,none,pfv,2,sg,zero,top,sp,uniq,sap
i kona hartves.,X,P,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
i apan hujptaves.,X,P,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
<ū>sьŋ <ō>tьr <ō>jka piɧatn ꞩama ratlьɧtaves.,1,P,AV,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg
v<ō>rt<ō>lnut sove hot=a<χ>salaves,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,ref,sp,uniq,weak
i <ā>pan hujuptaves.,X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,possnp,ref,sp,uniq,weak
man̩ v<ō>rt<ō>lunt<ı̮>ɧ h<ō>jveseɧ.,X,P,PV,NoPtcl,pst,ind,none,pfv,A,du,barenp,fam,sp,uniq,strg
os {tēn} sovanen hot <ō>hsalav<ē>s<ē>ɧa,X,P,PV,NoPtcl,pst,ind,none,pfv,I,pl,possnp,ref,sp,uniq,weak
i <ō>s <ā>pan hujuptav<ē>s<ē>ɧa.,X,P,V,NoPtcl,pst,ind,none,pfv,A,du,zero,act,sp,uniq,strg
Toɧa h<ū>r<u̮>m uj sun[ь]n̥ taltav<ē>st.,X,P,PV,NoPtcl,pst,ind,none,pfv,A,pl,barenp,act,sp,uniq,strg
husaɧk<ē>m tall nos a<ł>ntav<ē>s.,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
Jola taratav{<ē>}s,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
v<ō>rt<ō>lnut a<ń>iɧ lav<ē>t,X,P,PV,NoPtcl,npst,ind,none,pfv,A,pl,barenp,fam,sp,uniq,strg
i sipiɧlav<ē>t.,X,P,V,NoPtcl,npst,ind,none,pfv,A,pl,barenp,fam,sp,uniq,strg
"ti jujupalt koln t<ū>lv<ē>st,",X,P,V,NoPtcl,pst,ind,none,pfv,A,pl,barenp,fam,sp,uniq,strg
pasa[ŋ]<n>[ь]n̥ <ū>n<t>tav<ē>s<t>.,X,P,V,NoPtcl,pst,ind,none,pfv,A,pl,barenp,fam,sp,uniq,strg
n̩<ō>vlil mive,X,P,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
juv tēvē,X,P,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
L<ā>vsav<ē>sьn hūr<ŏ>m s<ā>t t<ā>l <ō>laŋk[v]e,X,P,V,NoPtcl,pst,ind,none,pfv,2,sg,zero,top,sp,uniq,sap
 awi pūswes,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,act,sp,uniq,strg
 tuu̯l āwitè pūswes,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,dpossnp,act,sp,uniq,strg
 āwi ti pūswes,X,P,PV,ti,pst,ind,none,pfv,I,sg,barenp,act,sp,uniq,strg
" āwi pūswes,",X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,act,sp,uniq,strg
 ı̯osa parɣaltaŋkwe patwès,0,P,PV,NoPtcl,pst,ind,none,pfv,I,du,barenp,ref,sp,nuniq,nfam
 ānit akw mān ta ūnttuwesət,X,P,PV,ta,pst,ind,none,pfv,I,pl,barenp,act,sp,uniq,strg
" tait laı̯wesət,",X,P,PV,NoPtcl,pst,ind,none,pfv,I,pl,npron,top,sp,uniq,strg
 man titta wew!,X,P,PV,NoPtcl,npst,ind,none,pfv,1,pl,pron,act,sp,uniq,sap
 ti puwawe,X,P,V,ti,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 taχ kismaı̯awe,X,P,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 kitı̮ɣlawe,X,P,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ı̯ol= ȯı̯wes,0,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ākw takwi PN maı̯lŭm ānite akw taite ı̯uu̯ maı̯wes,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,npron,fam,sp,uniq,strg
" -nāŋ ɔs ta astuwesən,",X,P,PV,NoPtcl,pst,ind,none,pfv,2,sg,pron,act,sp,uniq,sap
 ań takwi molal maı̯lum ānite ı̯uu̯ ta maı̯wes,X,P,PV,ta,pst,ind,none,pfv,I,sg,possnp,fam,sp,uniq,strg
 nas āti takwi mȯlɒl maı̯lum ānitetəl rētatalawe,X,P,V,NoPtcl,npst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg
" ań alapanuwe,",X,P,V,NoPtcl,pst,irr,none,pfv,H,sg,barenp,top,sp,uniq,sap
" atajalves, ",X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,ref,sp,nuniq,nfam
" tujte, jaŋke nollьɧtaves,",X,P,PV,NoPtcl,pst,ind,none,pfv,I,mass,dpossnp,ref,sp,nuniq,nfam
 juv puvtmaves,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,ref,sp,nuniq,nfam
 Sorniŋ tep maɧьŋ tep pasanьl varves,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" arɧen oln puvlьn kol tavem paltime, ",X,P,PV,NoPtcl,pst,evid,none,pfv,I,sg,barenp,act,sp,uniq,strg
" pot sup n̩anil totves, ",X,A,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,top,sp,uniq,strg
 ta janit akьr kapaj ti neɧime,X,P,PV,ti,pst,evid,none,pfv,A,sg,barenp,ref,sp,nuniq,nfam
 juv ti ajapanuve !,X,P,V,ti,npst,irr,none,pfv,H,sg,zero,ref,sp,nuniq,nfam
" n̩ollьɧtaves, ",X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,nfam
 juvta puvtmaves,X,P,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,nfam
" sorniŋ tep, maɧьŋ tip pasanьl varvьs",X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 Hun̩t ꞩaritim sorup n̩ovьl toh totves,X,P,PV,NoPtcl,pst,ind,none,pfv,I,mass,barenp,ref,sp,nuniq,nfam
 Hurum pis ker kvalil neɧim on̩ꞩave,X,P,V,NoPtcl,npst,ind,none,npfv,A,sg,zero,ref,sp,nuniq,nfam
 juv tajapanuve,X,P,V,NoPtcl,npst,irr,none,pfv,H,sg,zero,ref,sp,nuniq,nfam
 atajalves,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" Tujte jaŋke n̩ollьɧtaves, ",X,P,PV,NoPtcl,pst,ind,none,pfv,I,mass,dpossnp,act,sp,uniq,strg
 juv puvtmaves,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 sorniŋ tep maɧьŋtep pasanьl varves,X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 sorniŋ oln kuraꞩ tulves,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,ref,sp,nuniq,nfam
 hun̩t ꞩaritim torev n̩ovьl toh totves,X,P,PV,NoPtcl,pst,ind,none,pfv,I,mass,barenp,ref,sp,nuniq,nfam
 luv homꞩil ela kotьrtaves,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,zero,act,sp,uniq,strg
 luv homꞩil ta kotьrtaves,X,P,PV,ta,pst,ind,none,pfv,A,sg,zero,act,sp,uniq,strg
 Hurmьtьs luv os ta honꞩil kotьrtaves,X,P,PV,NoPtcl,pst,ind,none,pfv,A,sg,zero,act,sp,uniq,strg
 Ker aŋkvalьŋ taɧьl ta lapajatuvьs,X,P,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
" ker aŋkvalьŋ taɧьl hotal̩ totaves, ",X,P,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 ta totave,X,P,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
" aman numьl totave, ",X,P,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg
 aman jolьl totaves,X,P,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
 akv mat ert luv jola ti pojtьltaŋkve patves,0,P,PV,ti,pst,ind,none,pfv,A,sg,zero,act,sp,uniq,strg
" Luv neɧne aŋkvalna luvьɧ neɧvesьɧ, ",X,P,PV,NoPtcl,pst,ind,none,pfv,A,du,barenp,act,sp,uniq,strg
 vilt jot ꞩalьɧ oln muvьr supьl ta junьɧtaves,X,P,PV,ta,pst,ind,none,pfv,I,sg,barenp,act,sp,uniq,strg
 an ojka hujimete vilt jat arɧen oln muvьr supьl ta janьɧtaves,X,P,PV,ta,pst,ind,none,pfv,I,sg,barenp,act,sp,uniq,strg
"tuwəl witəl kos lou̯tawès, ",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,ref,sp,uniq,nfam
 tuwl ɔ̄s χɔt taml'e ānit χɔ̄ntwes,X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,barenp,act,sp,uniq,strg
 mȯꞩ rukətnūu̯ χanime,X,P,V,NoPtcl,pst,evid,none,pfv,I,sg,zero,act,sp,uniq,strg
wos wiwe,X,P,V,NoPtcl,npst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
 ti āni mot kȯln wos totawe,X,P,PV,NoPtcl,npst,ind,none,pfv,I,sg,demnp,act,sp,uniq,strg
ɔ̄ln āni wȯı̯wès,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,act,sp,uniq,strg
 mot ı̯ɔ̄ru kȯln ta tūlwès,X,P,V,ta,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
 ɔ̄s akw ta sirəl kȯl anlan tuu̯ nēı̮ɣwès,X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
" ta χum ꞩɔ̄pitame χɔ̄tɒl, mot kōlt, χɔ̄ti kȯln totwès, ",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
 ɔ̄s χūrmit kȯln totwès,X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
" χurmit kȯln tūlwes,",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
  ɔs kȯl aulan mulɣa nēı̮ɣwès,X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
" mulɣa neı̮ɣwes, ",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
"tuwəl ta ꞩirəl sāt kȯln tulı̮ɣla wes, ",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg
"(ta ı̯ui palt ɔs ńila kȯln mus tūlı̮ɣlawès,",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
" χalanəlt ta kos pērı̯awe,",X,P,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,undef,sp,nuniq,nfam
" ul'a nɔŋχ palt wès,",X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,typid,sp,uniq,nfam
 kȯı̯up ta isəltawès,X,P,PV,ta,pst,ind,none,pfv,I,sg,barenp,act,sp,uniq,strg
" wowwes, ",X,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" ꞨTϽ tuu̯ wārŭm wāramal'e pı̮ɣaɣe alawesı̮ɣ, ",X,P,PV,NoPtcl,pst,ind,none,pfv,H,du,possnp,ref,sp,uniq,weak
 ań χultne pon ta tarmatwes witta ,X,P,PV,ta,pst,ind,none,pfv,I,sg,barenp,ref,sp,uniq,nfam
lȯŋχal' ta nata weı̮ɣ,0,P,V,ta,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg
 χumı̮ɣ ta puwwesı̮ɣ,X,P,PV,ta,pst,ind,none,pfv,H,du,barenp,act,sp,uniq,strg
χomi soswesı̮ɣ,X,P,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
" ı̯ola totwesı̮ɣ, ūsən, ",X,P,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
"laɣlanēn neı̮ɣwesət, ",X,P,PV,NoPtcl,pst,ind,none,pfv,I,pl,possnp,top,sp,uniq,strg
kātanèn neı̮ɣwesət,X,P,PV,NoPtcl,pst,ind,none,pfv,I,pl,possnp,top,sp,uniq,strg
 kēr kwalɣəl nēı̮ɣwesət,X,P,V,NoPtcl,pst,ind,none,pfv,I,pl,zero,top,sp,uniq,strg
 kēr sirn aluŋkwe ta taɣatawesı̮ɣ,X,P,PV,ta,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
" ta alwesı̮ɣ, ",X,P,PV,ta,pst,ind,none,pfv,H,du,possnp,top,sp,uniq,strg
ker sirna taɣatawesı̮ɣ,X,P,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
 kitəɣlaŋkwe patwes,X,P,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
 ta puwumtawèsı̮ɣ,X,P,V,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
 χapèn χomi pērmtawes,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,ref,sp,uniq,weak
" tēnki ı̯ol puwwesı̮ɣ, ",X,P,PV,NoPtcl,pst,ind,none,pfv,H,du,pron,act,sp,uniq,strg
"wit kiwər ūsən totwesı̮ɣ,",X,P,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
 tot alwèsı̮ɣ -,X,P,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
pı̮ɣaɣŭm alwesı̮ɣ! ,X,P,PV,NoPtcl,pst,ind,none,pfv,H,du,possnp,fam,sp,uniq,strg
wit χ ūsuw ti χɔ̄tɒs wońsalı̮ɣ ta totawè! ,X,P,PV,ta,npst,ind,none,pfv,I,sg,possnp,act,sp,uniq,strg
 pı̮ɣaɣe alwesı̮ɣ ,X,P,PV,NoPtcl,pst,ind,none,pfv,H,du,possnp,fam,sp,uniq,strg
ta māɣəs wit χull ta lawwes!,X,P,V,ta,pst,ind,none,pfv,H,sg,zero,ref,nonsp,nuniq,strg
" ti sat kȯln ı̯uu̯ tulı̮ɣlawes, ",X,P,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,fam,sp,uniq,strg
 tāɣtn wos totawe,X,P,V,NoPtcl,npst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
" ali ńallaŋt nȯrkȯləŋ χum lāu̯ltawe,",0,P,PV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,typid,sp,uniq,nfam
 tuu̯ mus χāpəl wos totawe,X,P,V,NoPtcl,npst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg
