,No,Trans,Form,W-ord,Tns,Mood,SenT,Pfv,Ptcl,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
"am pau̯lum l'apa, tuw minew, mis χum lāwi.",39,0,A,V,npst,hort,,pfv,,H,pl,zero,top,sp,max,sap,,,,,,,
tan pau̯lēn ta mineɣt.,40,0,A,V,npst,ind,,npfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
"moꞩ minasət, lāwi.",41,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,,,,,,,
"-χumı̮ɣ, nēn at ti ı̯oχtχatı̯ēn.",42,0,A,AV,npst,ind,neg,npfv,ti,H,du,pron,top,sp,uniq,sap,,,,,,,
saka laꞩalı̮ɣ ɔ̄lnēn.,43,0,A,V,npst,evid,,npfv,,H,du,zero,top,sp,uniq,sap,,,,,,,
maı̯ ti kēməl χotal' ı̯oχtew!,44,0,A,V,npst,ind,quest,pfv,,H,pl,zero,top,sp,max,sap,,,,,,,
ti èti-|mawew.,45,0,P,V,npst,ind,,npfv,ti,,,,,,,,H,pl,zero,top,sp,max,sap
tit kēr lakw ɔ̄li.,46,0,A,AV,npst,ind,,npfv,,I,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
akwate nupəl lāwi.,47,0,A,V,npst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
"naŋ l'ul'en tı̮ɣ,",48,0,A,AV,npst,imp,,pfv,,H,sg,pron,top,sp,uniq,sap,,,,,,,
"- motane nupəl - lāwi,",49,0,A,V,npst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
am p ti palum ɔ̄s kēr lākw ɔ̄li.,50,0,A,AV,npst,ind,,npfv,,I,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
naŋ ɔ̄s tı̮ɣ l'ul'en.,51,0,A,AxV,npst,imp,,pfv,,H,sg,pron,top,sp,uniq,sap,,,,,,,
ta l'ul'sı̮ɣ.,52,0,A,V,pst,ind,,pfv,ta,H,du,zero,act,sp,uniq,strg,,,,,,,
"-anum, lāwi, ta kɔꞩ pȯχten!",53,1,A,PxV,npst,imp,,pfv,,H,du,zero,top,sp,uniq,sap,H,sg,pron,act,sp,uniq,sap
"takɔ̄s pȯχtası̮ɣ, ",54,X,A,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,,,,,,,
"mis χum ta mini, ",55,0,A,AV,npst,ind,,npfv,ta,H,sg,barenp,act,sp,uniq,strg,,,,,,,
ta totaweı̮ɣ.,56,X,P,V,npst,ind,,npfv,ta,,,,,,,,H,du,zero,act,sp,uniq,strg
"χottal' tottaweı̮ɣ, ",57,X,P,V,npst,ind,,npfv,,,,,,,,,H,du,zero,top,sp,uniq,strg
ta totaweı̮ɣ.,58,X,P,V,npst,ind,,npfv,ta,,,,,,,,H,du,zero,top,sp,uniq,strg
pal'a asanenəl nas ꞩuu̯ɣeɣt!,59,0,A,V,npst,ind,,npfv,,,,,,,,,,,,,,,
ta kem pēlpəꞩ ta mini.,60,0,A,V,npst,ind,,npfv,ta,H,sg,zero,act,sp,uniq,strg,,,,,,,
"akw ērt mānəl telum, tɔ̄rŭmnəl tēlum ı̯anı̮ɣ nāŋk ur pāl'.",61,,,,,,,,,,,,,,,,,,,,,,
ta mineɣt.,62,0,A,V,npst,ind,,npfv,ta,H,pl,zero,act,sp,max,strg,,,,,,,
"akw ērt nāŋk ur simən ı̯oχte:sət,",63,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,,,,,,,
sat naŋk ɔ̄ltum kolna ti neı̮ɣ-|lesət.,64,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,,,,,,,
mēŋkw kȯl.,65,,,V,,,,,,,,,,,,,,,,,,,
tuu̯ ı̯uw̯ ta ꞩaltsət.,66,0,A,V,pst,ind,,pfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
"ı̯uu̯ ꞩaltsət, ",67,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,,,,,,,
muli pālt mēŋkw ɔ̄ı̯ka ūnli.,68,0,A,AV,npst,ind,,npfv,,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,
mēŋk ɔ̄ı̯ka lāwi.,69,0,A,AV,npst,ind,,pfv,,H,sg,barenp,act,sp,uniq,strg,,,,,,,
-matər sir wɔ̄r sampa3 l'akweı̮ɣ,70,0,A,AV,npst,ind,,npfv,,H,du,zero,act,sp,uniq,strg,,,,,,,
ti totipawesı̮ɣ.,71,X,P,V,pst,ind,,pfv,ti,,,,,,,,H,du,zero,top,sp,uniq,strg
atēn ti pāsi.,72,0,A,AV,npst,ind,,npfv,ti,I,abst,possnp,ref,nonsp,uniq,w_brdg,,,,,,,
