,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 ı̯uu̯ ꞩaltsət,42,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
" kiw̯rèt, kol kane taɣla pȯrəs",43,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 ꞩaksɒm wal'sam,44,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 ı̯PN lāwi:,45,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
 - am ti porsət kon totiı̯anum,46,1,AP,APV,NoPtcl,fut,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,I,pl,demnp,ref,sp,nuniq,nfam
" nan ul' ı̯iw̯ sāɣren,",47,1,A,APV,NoPtcl,fut,imp,none,pfv,2,pl,pron,act,sp,uniq,sap,I,mass,barenp,typid,nonsp,nuniq,nfam
 wit totēn,48,1,A,PV,NoPtcl,fut,imp,none,pfv,2,pl,zero,top,sp,uniq,sap,I,mass,barenp,typid,nonsp,nuniq,nfam
" tau̯ ēꞩaɣe konn tosɒm tarı̮ɣ sāɣresı̮ɣ,",49,1,A,AxPV,NoPtcl,pst,ind,none,pfv,H,du,possnp,act,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
" ul' ı̯iw, ta sāɣreı̮ɣ",50,1,A,PV,ta,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,I,mass,barenp,typid,nonsp,nuniq,nfam
 MN ɔ̄s wit toti,51,1,A,AxPV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,mass,barenp,typid,nonsp,nuniq,nfam
" ı̯PN porsane kon totsane,",52,1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,pl,dpossnp,act,sp,uniq,strg
" ꞩɔ̄pitasane,",53,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,zero,top,sp,uniq,strg
 χūrŭm pal ɔ̄lne maɣəs ta ꞩɔ̄pitasane,54,1,AP,PxV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,top,sp,uniq,strg
" lɔ̄χ pāl takwitèn, kȯt'il' pal kȯt'il' ēꞩèn",55,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 - K ēꞩe nupəl lāwi,56,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 - naŋ tit ɔ̄len,57,0,A,AxV,NoPtcl,fut,imp,none,npfv,2,sg,pron,act,sp,uniq,sap,,,,,,,
" - āwi sunt pāln, man ēꞩe nupəl lāwi:",58,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 naŋ tit ɔ̄len,59,0,A,AxV,NoPtcl,fut,imp,none,npfv,2,sg,pron,act,sp,uniq,sap,,,,,,,
 wit norma ı̯oli pal χusap sopotim ɔ̄li,60,0,A,AxV,NoPtcl,npst,ind,none,npfv,I,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
" lawi: - MN, naŋ tit ɔ̄len",61,0,A,AxV,NoPtcl,fut,imp,none,npfv,2,sg,pron,act,sp,uniq,sap,,,,,,,
 - tuu̯,62,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
" anum matər mā, akw̯ toχ ɔ̄li",63,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
" ul' ı̯iw tūlsət,",64,1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,I,mass,barenp,act,sp,uniq,strg
 ꞩowal lɔ̄χən tuw̯ ta ꞩaməlteɣt,65,X,A,V,ta,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
" ɔ̄rɒs saməlta sanəl,",66,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,w_set
 wit ɔs sūu̯ totsət,67,1,A,PxV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
" tēne matər wāruŋkwe, nematər samt āt'im",68,,,,NoPtcl,,,neg,,,,,,,,,,,,,,,
 ètimɒs,69,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 nas ta ūnleɣt,70,0,A,V,ta,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,
" ūnlimenəl mȯꞩ tūp ėtimɒs,",71,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" konn χotpa, ı̯ɔχtume suiti",72,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,nfam,,,,,,,
 ı̯ɔ̄sa ta lɔ̄χoꞩlanète suiti,73,0,A,AV,ta,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,nfam,,,,,,,
 suı̯e χolɒs,74,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,act,sp,uniq,strg,,,,,,,
" āwin ti ı̯ɔχtəs,",75,0,A,V,ti,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 ı̯uu̯ ti salti,76,0,A,V,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 awi pūswes,77,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,barenp,act,sp,uniq,strg
" tulmaχ ɔ̄ı̯ka ti neı̮ɣlapɒs,",78,0,A,AV,ti,pst,ind,none,pfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,
 ı̯uu̯ ta porı̮ɣmas,79,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 muli pāln ta sulintɒs,80,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 sultəl tuu̯ ta minɒs,81,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" tuu̯ ı̯ɔ̄χtəs,",82,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" nɔ̄χ l'ul'mətɒs,",83,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 kūꞩè pal'aɣènəl pūwəste,84,1,AP,PxV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg
 χɔ̄t ta āŋχẇitaste,85,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
 - nas āt'i naral=waı̯il ɔ̄li,86,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" woı̯kanəl ɔ̄li,",87,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ēntapəl ēntχatim ɔ̄li,88,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" ńɔ̄χsət ēntapēt ɔ̄leɣt, lēŋn χol't pɔ̄ri taɣatane",89,0,A,AxV,NoPtcl,npst,ind,none,npfv,I,pl,barenp,ref,sp,uniq,nfam,,,,,,,
" ēntɒp kwalɣe pēsatɒs,",90,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
 muli pāln tuu̯ ta rau̯tsasane,91,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,zero,act,sp,uniq,strg
" ēntɒp kalɣe praɣ pinɒs,",92,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
 wȯı̯kane paɣ=pinɒs,93,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
" takwi mili siŋs ı̯iwn ta ūntəs,",94,0,A,AxV,ta,pst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg,,,,,,,
 ńarane = waı̯ane χot āŋχwuŋkwe ta ūntəs,95,1,INF-A,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,act,sp,uniq,strg
" ńarane = waı̯ana χot - ta, āŋχwsane",96,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,top,sp,uniq,strg
" tuw̯l, ı̯anı̮ɣ PN l'ul'mətɒs,",97,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,
 ta ńarane = waı̯ane almaı̯asane,98,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,act,sp,uniq,strg
" āras wātan minɒs,",99,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 tuı̯tanəl tot ta parɣalti,100,1,A,PxV,ta,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,dpossnp,ref,sp,nuniq,w_brdg
 tuw̯l nɔ̄χ ta taɣa tasane,101,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,act,sp,uniq,strg
 wit saka sāw̯ kȯlkann tuu̯ = tɔ̄lɒs,102,0,A,AxV,NoPtcl,pst,ind,none,pfv,I,mass,barenp,ref,nonsp,nuniq,nfam,,,,,,,
 χot sēɣəstè,103,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,zero,act,sp,uniq,strg
 loχ pālèn uꞩ ta ūntəs,104,0,A,V,ta+,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" tuu̯l pusən unleɣt,",105,0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,univp,act,sp,uniq,strg,,,,,,,
 nēm χɔtpa at suitı̮ɣli,106,0,A,AV,NoPtcl,npst,ind,neg,npfv,U,abst,negp,undef,nonsp,nuniq,nfam,,,,,,,
" χuntleɣt konn,",107,X,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,
 χɔ̄tpa ta ı̯oχtəs,108,0,A,AV,ta,pst,ind,none,pfv,H,sg,indefp,undef,nonsp,nuniq,nfam,,,,,,,
 ı̯ȯsa loχne suı̯e suitɒs,109,0,A,AV,NoPtcl,pst,ind,none,npfv,I,sg,possnp,ref,sp,nuniq,nfam,,,,,,,
" ı̯osa suı̯ χolɒs,",110,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,act,sp,uniq,strg,,,,,,,
 tuu̯l āwitè pūswes,111,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,dpossnp,act,sp,uniq,strg
