,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 man ta janit ꞩahlaŋ vareɧьn? ,164,1,A,PV,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,I,abst,barenp,ref,sp,nuniq,nfam
" atajaleln, ",165,1,AP,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,H,sg,zero,ref,sp,nuniq,nfam
" naŋьn rovne mat hotpa ke johtьs,",166,0,A,AV,NoPtcl,pst,irr,none,pfv,U,abst,indefp,typid,nonsp,nuniq,nfam,,,,,,,
" tujte jaŋke n̩ollьɧten, ",167,1,A,PV,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,mass,dpossnp,ref,sp,nuniq,nfam
 juv puvtmen,168,X,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 mol̩ah n̩olanteln,169,1,AP,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,H,sg,zero,ref,sp,nuniq,nfam
" n̩ollьɧtaves, ",170,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,zero,act,sp,uniq,nfam
 juvta puvtmaves,171,X,P,V,ta,pst,ind,none,pfv,,,,,,,,H,sg,zero,top,sp,uniq,nfam
 akv ekva unli,172,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,
 ekvaьɧ ojkaьɧ man pьɧ apьɧkwem hotal̩ mineɧьn? ,173,0,A,V,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
" arɧen oln muvьr sup, n̩auleɧum",174,1,A,PV,NoPtcl,npst,ind,none,npfv,1,sg,zero,act,sp,uniq,sap,I,sg,barenp,fam,sp,uniq,strg
" katьn iŋ vaɧtal,",175,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 laɧьlьn iŋ ꞩomtal,176,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
" sorniŋ tep, maɧьŋ tip pasanьl varvьs",177,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,zero,act,sp,uniq,strg
 tes ,178,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ajes ,179,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 astьs,180,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" hun̩t ꞩopitim n̩ohьs piti, uj piti kiverna hujeɧьn man ati? ",181,0,A,V,NoPtcl,fut,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 Pьɧriꞩ lavi,182,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
 hujeɧum,183,0,A,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,
 Piti kiverna ta hujas,184,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" Hosa hujas, ",185,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" vati hujas, ",186,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 akv ekvate kona kvalme ta sujti,187,0,A,AV,ta,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
 akv ekvate juv ꞩaltme porat noŋh untьlmatьs,188,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 ꞩalьɧ oln kuraꞩ kolkanna lajim porat kōl kan partanen ola supьɧ tollasьt,189,0,A,AV,NoPtcl,pst,ind,none,pfv,I,pl,dpossnp,ref,sp,nuniq,nfam,,,,,,,
 akv ekva kol kant tьɧ tuv jomьɧtakete salьɧ oln kolkan partьt kis hol̩t hūtseɧt,190,0,A,AxV,NoPtcl,npst,ind,none,npfv,I,pl,barenp,act,sp,uniq,strg,,,,,,,
" apьɧkve, puvleɧьn, man āti? ",191,0,A,V,NoPtcl,fut,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 puvleɧum,192,0,A,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,
" noŋ l̩ul̩mьɧtás, ",193,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 solьɧ oln kuraꞩ voril ti noŋh olmьste,194,1,AP,PxV,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
 puvlen koln minas,195,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" salьɧ oln puvlьn kol, salьɧ oln vitьl ꞩurji",196,0,A,AxV,NoPtcl,npst,ind,none,npst,I,sg,zero,top,sp,uniq,strg,,,,,,,
" nomsi, ",197,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
