,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 Haniꞩteɧьn ke,292,X,A,V,NoPtcl,fut,irr,none,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
" haniꞩten, ",293,X,A,V,NoPtcl,fut,imp,none,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 at ke haniꞩteɧьn ,294,X,A,V,NoPtcl,fut,irr,neg,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 ul haniꞩten,295,X,A,V,NoPtcl,fut,imp,neg,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 am mol̩amleɧum,296,0,A,AV,NoPtcl,npst,ind,none,npfv,1,sg,pron,act,sp,uniq,sap,,,,,,,
 naŋ tah sans puŋkьn toluvpam mil l̩oŋh hosit minen,297,0,A,AxV,NoPtcl,fut,imp,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,
" Hosa mineɧьn, ",298,0,A,V,NoPtcl,fut,ind,none,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
" vati mineɧьn, ",299,0,A,V,NoPtcl,fut,ind,none,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
" torumna telum, mān telum janьɧ ker aŋkvalna johteɧьn",300,0,A,V,NoPtcl,fut,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 aŋkval jolal̩ tartalahtam ker kvaljet,301,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
" mana kem ker kvalьɧ toulhati, ",302,0,A,AV,NoPtcl,fut,ind,none,npfv,I,mass,barenp,ref,sp,nuniq,nfam,,,,,,,
 naŋkin ositьntьl aŋkvalna tuv pereln,303,1,AP,PxV,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,2,sg,pron,act,sp,uniq,sap
 (neɧsalahten,304,0,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 persalahten),305,0,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 sans puŋkьn (sansьn toluvpam mil l̩oŋh jas hosit ta mini,306,0,A,V,ta,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" Hosa minas, ",307,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" vati minas, ",308,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 akv mat ert torumna telum mān telum janьɧ aŋkval hontas,309,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
 aŋkval muvaltartahtam ker kvaljetьl takvite ositetьl tuv ta pērьste,310,1,AP,PxV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,pron,top,sp,uniq,strg
" Hosa l̩ulis, ",311,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" man vati, l̩ulis",312,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" tan pohenьl luvьŋ hum minnete sujti, ",313,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
 laɧьlьŋ hum minnete sujti,314,0,A,AV,NoPtcl,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
 samen at pateɧt,315,0,A,V,NoPtcl,npst,ind,neg,npfv,H,pl,zero,ref,sp,nuniq,nfam,,,,,,,
" Tujt ke tuji, ",316,0,A,AV,NoPtcl,npst,irr,none,npfv,If,mass,barenp,ref,sp,nuniq,nfam,,,,,,,
 teljiɧ nomsite,317,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 Rakv ke rakvi ,318,0,A,AV,NoPtcl,npst,irr,none,npfv,If,mass,barenp,ref,sp,nuniq,nfam,,,,,,,
 tujiɧ nomsite,319,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 akv mat ert nomsi: ,320,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 touli,321,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 pesthateɧum hot,322,0,A,V,NoPtcl,fut,hort,none,pfv,1,sg,zero,act,sp,uniq,strg,,,,,,,
 Tit l̩ulimem akv ti pьl sorum,323,,,,ti,,,none,,,,,,,,,,,,,,,
 Pesthatim hot,324,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
" Hot pesthatuŋkve nomsuŋkve patьs, ",325,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 akv matert vьɧьr luvьŋ hum ta nejlapas,326,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
 Vьɧьr luvьŋ hum l̩apan johtuvpas ,327,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
 aŋkvalt l̩ul̩ne hum nunsьɧtālas,328,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,
 luv leɧьnьl jol konsьɧtaste,329,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
" Ta porat luv sis tarmьl unlьn hum juv permtahtas, ",330,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,
 l̩aɧalas,331,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" - naŋьn jomas eri,",332,0,A,AV,NoPtcl,npst,ind,quest,npfv,I,abst,barenp,typid,nonsp,nuniq,nfam,,,,,,,
 man l̩ul eri?,333,0,A,AV,NoPtcl,npst,ind,quest,npfv,I,abst,barenp,typid,nonsp,nuniq,nfam,,,,,,,
 l̩ul ke ernuv,334,0,A,AV,NoPtcl,npst,irr,none,npfv,I,abst,barenp,typid,nonsp,nuniq,nfam,,,,,,,
 naŋьn jolhun̩ puvnuvum,335,1,A,PxV,NoPtcl,pst,irr,quest,pfv,1,sg,zero,act,sp,uniq,sap,2,sg,pron,act,sp,uniq,sap
 Jomas ernete maɧьs jol-puvьslum,336,1,AP,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,2,sg,zero,top,sp,uniq,sap
 Luv sisenьl jola vaɧlьs,337,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 lavi - ,338,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Pesthaten hot,339,0,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
" Hot pestalahtьs, ",340,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" luvьŋ humite ꞩepnьl levatas polah posne tor, ",341,1,A,AxVP,NoPtcl,pst,ind,none,pfv,H,sg,dpossnp,act,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
 mān jola nortaste,342,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
" sorniŋ tep, maɧьŋ tep pasan tuvьl tels",343,0,A,AxV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
 Seŋkve at holi ,344,0,A,AV,NoPtcl,npst,ind,neg,npfv,I,mass,dpossnp,ref,sp,nuniq,nfam,,,,,,,
 posime at holi ,345,0,A,AV,NoPtcl,npst,ind,neg,npfv,I,mass,dpossnp,ref,sp,nuniq,nfam,,,,,,,
 Teŋkve ajuŋkve untsьɧ,346,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,
" teneten, ajneten halt, luvьŋ humite lavi: ",347,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,dpossnp,act,sp,uniq,strg,,,,,,,
 naŋ sansьn tuluvpam mil l̩oŋhjasen hosit os ta mineɧьn,348,0,A,AxV,ta+,fut,ind,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,
" Hosa mineɧьn,",349,0,A,V,NoPtcl,fut,ind,none,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 vati mineɧьn,350,0,A,V,NoPtcl,fut,ind,none,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
" ti manьr janьɧ ker aŋkval, ti koni pal janьɧ aŋkval honteɧьn",351,1,A,PV,NoPtcl,fut,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,barenp,ref,sp,nuniq,nfam
" Ta aŋkvalna johteɧьn, ",352,0,A,V,NoPtcl,fut,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 ti konipal sav ker kvalьɧ jolal̩ tartalahtim oli,353,0,A,AxV,NoPtcl,npst,ind,none,npfv,I,mass,barenp,ref,sp,nuniq,nfam,,,,,,,
 Mana kem toulhati,354,0,A,V,NoPtcl,fut,ind,none,npfv,I,mass,zero,typid,nonsp,nuniq,nfam,,,,,,,
 naŋkin ositьntьl ta aŋkvalna tuv ta perilьn,355,1,AP,PxV,ta,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,2,sg,pron,act,sp,uniq,sap
 aman nila tal l̩uleɧьn,356,0,A,V,NoPtcl,fut,ind,none,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 aman nila tuv l̩uleɧьn,357,0,A,V,NoPtcl,fut,ind,none,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 akv ker kvalьɧ hot ul pesaten,358,1,A,PV,NoPtcl,fut,imp,neg,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,barenp,ref,sp,uniq,strg
" akva ke pesateɧьn,",359,1,A,PV,NoPtcl,fut,irr,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,barenp,ref,sp,uniq,strg
" nanьn vāmum ti,",360,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 anum vāmьn tī,361,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 sansьn toluvpam mil l̩oŋh jas hosit ta minas,362,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" Hosa minas, ",363,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 vati minas,364,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Torumna telum mān telum janьɧ ker aŋkval hontas,365,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
 ositetьl takvite ker kvaljil ta pērьste,366,1,AP,PxV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,pron,top,sp,uniq,strg
 Tujt ke tuji,367,0,A,AV,NoPtcl,npst,irr,none,npfv,If,mass,barenp,ref,sp,nuniq,nfam,,,,,,,
" Teljiɧ nomsīke, ",368,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" rakv ke rakvi, ",369,0,A,AV,NoPtcl,npst,irr,none,npfv,If,mass,barenp,ref,sp,nuniq,nfam,,,,,,,
 tujiɧ nomsite,370,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 akv mat ert nomsi: ,371,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 touli,372,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 (pestalahteɧum hot),373,0,A,V,NoPtcl,fut,hort,none,pfv,1,sg,zero,act,sp,uniq,strg,,,,,,,
 nila talьɧ ul pьl jemtьs,374,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" Pestalahtuŋkve nomsuŋkve patьs, ",375,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 mā torjuŋkve ti patьs,376,0,INF-A,APV,ti,pst,ind,none,pfv,I,mass,barenp,ref,sp,uniq,w_glob,,,,,,,
 nomsi,377,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" sar l̩uleɧum, ",378,0,A,V,NoPtcl,fut,hort,none,npfv,1,sg,zero,top,sp,uniq,strg,,,,,,,
 mat ul pьl (vek) johti,379,0,A,AxV,NoPtcl,npst,ind,none,npfv,U,abst,indefp,typid,nonsp,nuniq,nfam,,,,,,,
" akv matert elal̩ sunsi, ",380,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 semьl luvьŋ hum ta nejlas,381,0,A,AV,ta,pst,ind,none,pfv,H,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
" l̩apan johtuŋkve patьs, ",382,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 luve elal̩ posite,383,1,AP,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,A,sg,possnp,ref,sp,uniq,w_brdg
 Tan pohenьl tahame můs luv leɧenьl jola konsьɧtaste,384,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" Juvle permtahtas, ",385,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
lavi,386,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" naŋьn jomas eri,",387,0,A,AV,NoPtcl,npst,ind,quest,npfv,I,abst,barenp,typid,nonsp,nuniq,nfam,,,,,,,
 man l̩ul̩ eri?,388,0,A,AV,NoPtcl,npst,ind,quest,npfv,I,abst,barenp,typid,nonsp,nuniq,nfam,,,,,,,
 l̩ul̩ ke ernuw ,389,0,A,AV,NoPtcl,npst,irr,none,npfv,I,abst,barenp,typid,nonsp,nuniq,nfam,,,,,,,
 jola hun̩ puvnuvlum,390,1,AP,V,NoPtcl,pst,irr,quest,pfv,1,sg,zero,act,sp,uniq,strg,2,sg,zero,act,sp,uniq,strg
 Jomas erme maɧьs jol puvьslum,391,1,AP,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,strg,2,sg,zero,top,sp,uniq,strg
 l̩aɧalas ,392,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 pestalahten hot,393,0,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 Hot pestalahtas,394,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 Humite luv sisenьl jolavaɧlьs,395,0,A,AxV,NoPtcl,pst,ind,none,pfv,H,sg,dpossnp,act,sp,uniq,strg,,,,,,,
" ꞩepnьl polah posne tor levatas, ",396,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
 jola nortumtaste,397,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
 Sorniŋ tep maɧьn tep pasan tuvьl tels,398,0,A,AxV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
 Tesьɧ ,399,X,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,
 ajsьɧ ,400,X,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
 astisьɧ,401,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
 Lavi,402,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 naŋ sansьn toluvpam mil l̩oŋh jasen hosit minen,403,0,A,AxV,NoPtcl,fut,imp,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,
" Ti manьr janьɧ aŋkval, ti koni pal janьɧ aŋkval honteɧьn",404,1,A,PV,NoPtcl,fut,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,barenp,ref,sp,nuniq,nfam
 Tuv johteɧьn ,405,0,A,V,NoPtcl,fut,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 akv ti ꞩirьl naŋkin ositьntьl tuv ta perilьn,406,1,AP,AxV,ta,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,2,sg,pron,top,sp,uniq,sap
" aman sāt tal l̩uleɧьn, ",407,0,A,V,NoPtcl,fut,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
" amьn sāt tūv luleɧьn,",408,0,A,V,NoPtcl,fut,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 akv ker kvalьɧ hot ul pesateln,409,1,AP,PV,NoPtcl,fut,imp,neg,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,barenp,ref,sp,nuniq,nfam
" akv ker kvalьɧ ke pesteɧьn, ",410,1,A,PV,NoPtcl,fut,irr,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,barenp,ref,sp,nuniq,nfam
" anum vamьn tī, ",411,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 naŋьn vamum tī,412,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 sansьn toluvpam mil l̩oŋh jase hosit ta mini,413,0,A,V,ta,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" Hosa minas, ",414,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" vati minas, ",415,0,A,V,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 torum telum mān telum janьɧ ker aŋkval hōntas,416,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
" Mana kem ker kvalьɧ toulhatas, ",417,0,A,AV,NoPtcl,pst,ind,none,npfv,I,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
 takvite ositetьl tuv ta perьste,418,1,AP,PxV,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,pron,top,sp,uniq,strg
" Rakv ke rakvi, ",419,0,A,AV,NoPtcl,npst,irr,none,npfv,If,mass,barenp,ref,sp,nuniq,nfam,,,,,,,
" tujiɧ nomsite, ",420,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" tujt ke tuji,",421,0,A,AV,NoPtcl,npst,irr,none,npfv,If,mass,barenp,ref,sp,nuniq,nfam,,,,,,,
 teljiɧ nomsite,422,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 akv matert nomsahti,423,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 Tan an̩ lavim sāt talum ul-pьl toulas,424,0,A,AxV,NoPtcl,pst,ind,none,pfv,I,pl,possnp,ref,sp,uniq,w_brdg,,,,,,,
 Touli,425,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 pesthateɧum hot,426,0,A,V,NoPtcl,fut,hort,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,
" akv pis ker kvalьɧ ta pēsatas, ",427,1,A,PV,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
" kitit ker kvalьɧ pēsatas, ",428,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
" Hurmit ker kvalьɧ pesatas, ",429,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
 akv mat ert mā torjuŋkve ti pats,430,0,INF-A,APV,ti,pst,ind,none,pfv,I,mass,barenp,ref,sp,uniq,w_glob,,,,,,,
 Mol̩amtahtem tuv perlьɧtasane ,431,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,zero,act,sp,uniq,strg
 akvmat ert jaŋk luvьŋ hum ti nejlapas,432,0,A,AV,ti,pst,ind,none,pfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,
 Luv nol samase ul̩al̩ nejli,433,0,A,AxV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,ref,sp,nuniq,nfam,,,,,,,
" Tanm l̩apaten vatimaŋkve patьs, ",434,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 luv homꞩil ela kotьrtaves,435,X,P,PxV,NoPtcl,pst,ind,none,pfv,,,,,,,,A,sg,zero,act,sp,uniq,strg
" Tan pohenьl tahane porat, luv leɧenьl jola konsьɧtaste",436,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" (Juv permtahtas,",437,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 lavi:,438,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 naŋьn aman jom) ,439,,,,,,,,,,,,,,,,,,,,,,
 Juvle joŋhupalas ,440,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 luv homꞩil ta kotьrtaves,441,X,P,PxV,ta,pst,ind,none,pfv,,,,,,,,A,sg,zero,act,sp,uniq,strg
" Kitьntьɧ joŋhupalas, ",442,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 os ta kotьrtaste,443,1,AP,V,ta+,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,sg,zero,act,sp,uniq,strg
 Hunteli,444,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ker aŋkval ta n̩uvumtame sujti,445,0,A,AV,ta,npst,ind,none,npfv,I,abst,possnp,ref,sp,nuniq,w_prcp,,,,,,,
 Hurmьtьs luv os ta honꞩil kotьrtaves,446,X,P,PxV,NoPtcl,pst,ind,none,pfv,,,,,,,,A,sg,zero,act,sp,uniq,strg
 Ker aŋkvalьŋ taɧьl ta lapajatuvьs,447,X,P,V,ta,pst,ind,none,pfv,,,,,,,,H,sg,zero,act,sp,uniq,strg
" ker aŋkvalьŋ taɧьl hotal̩ totaves, ",448,X,P,V,NoPtcl,npst,ind,none,npfv,,,,,,,,H,sg,zero,top,sp,uniq,strg
 ta totave,449,X,P,V,ta,npst,ind,none,npfv,,,,,,,,H,sg,zero,top,sp,uniq,strg
 Tan taj hot at taratahti,450,0,A,AxV,NoPtcl,npst,ind,neg,npfv,H,sg,pron,act,sp,uniq,strg,,,,,,,
" aman numьl totave, ",451,X,P,V,NoPtcl,npst,ind,none,npfv,,,,,,,,H,sg,zero,act,sp,uniq,strg
 aman jolьl totaves,452,X,P,V,NoPtcl,npst,ind,none,npfv,,,,,,,,H,sg,zero,top,sp,uniq,strg
 akv mat ert luv jola ti pojtьltaŋkve patves,453,0,INF-P,PxV,ti,pst,ind,none,pfv,,,,,,,,A,sg,zero,act,sp,uniq,strg
 Jola ti pojtьs,454,0,A,V,ti,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,,,,,,,
 Lavi:,455,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 saliɧ ke at ke jemtsьn,456,0,A,V,NoPtcl,pst,irr,neg,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 akvaьɧ von̩salьɧ totnuvlum,457,1,AP,V,NoPtcl,fut,irr,none,pfv,1,sg,zero,act,sp,uniq,sap,2,sg,zero,top,sp,uniq,sap
 manarьɧ pesatalam hurum ker kval[ьɧ]? jin? ,458,1,A,VP,NoPtcl,pst,evid,quest,pfv,2,sg,zero,top,sp,uniq,sap,I,pl,possnp,act,sp,uniq,strg
 Pestalahtьn hot,459,0,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,
 Hot ta pestalahtas,460,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 Pestalahtьnete halt tuvle aŋkvatas (akv humite nupьl) ,461,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 nas ati molal johtalam kit humjaɧe os johtumьɧ,462,0,A,AxV,NoPtcl,pst,evid,none,pfv,H,du,dpossnp,fam,sp,uniq,strg,,,,,,,
 Hot ta pestalahtьs,463,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 Jaŋk luvьŋ hum polah posne tōre kona lévātas ,464,1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,possnp,ref,sp,nuniq,nfam
" mān norteste, ",465,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
 akv laɧьlup sāt pasan tels,466,0,A,AV,NoPtcl,pst,ind,none,pfv,I,pl,barenp,ref,sp,nuniq,nfam,,,,,,,
" Saŋkve at holi, ",467,0,A,AV,NoPtcl,npst,ind,neg,npfv,I,mass,dpossnp,ref,sp,nuniq,nfam,,,,,,,
 posime at holi,468,0,A,AV,NoPtcl,npst,ind,neg,npfv,I,mass,dpossnp,ref,sp,nuniq,nfam,,,,,,,
 Teŋkve ajuŋkve untsьt,469,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,
" Tenenьl, ojnenьl holt laveɧt: ",470,0,A,V,NoPtcl,npst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
Hoti humjuvna taltave?,471,1,P,AV,NoPtcl,fut,ind,quest,pfv,H,sg,possnp,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
 Jaŋk luvьŋ hum lavi,472,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
" hotjutuv ꞩarten johtalas,",473,0,A,AxV,NoPtcl,pst,ind,none,pfv,U,abst,indefp,ref,sp,uniq,strg,,,,,,,
 ta humjuvna vos taltaves,474,1,P,PV,NoPtcl,fut,opt,none,pfv,H,sg,demnp,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" Janьɧ akite palt johti, ",475,0,A,V,NoPtcl,fut,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 manьr vovi? ,476,1,A,PV,NoPtcl,fut,ind,quest,pfv,H,sg,zero,act,sp,uniq,strg,U,abst,indefp,undef,nonsp,nuniq,nfam
