,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 tuu̯l aku̯ χum lāwi - ,38,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,typid,sp,nuniq,nfam,,,,,,,,
am wı̮ɣum,39,X,A,AV,NoPtcl,fut,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,,,,,,,,
" wı̮ɣŭm, ",40,X,A,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,,
kȯlŭmn ı̯uu̯ tūlilŭm,41,1,AP,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg,
" ı̯uu̯ ı̯als, ",42,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
tɔ̄r lomt totəs,43,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam,
" sām mańsiŋ tɔ̄r arsinəl tuu̯ neχsalaste, ",44,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg,
"ı̯uu̯ tūləste,",45,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg,
 muln kȯl au̯lan ta nēɣəste,46,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg,
" tau̯ tulme χurmit χōtal, takwi āɣməl ı̯ēmtəs",47,0,A,AxV,NoPtcl,pst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg,,,,,,,,
" χūrŭm χɔtɒl ɔ̄ls, ",48,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,,,,,,,,,,,,
tuwəl āɣməl ı̯ēmtmè χūrmit χɔ̄tɒl sȯrum ta pats,49,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
" sȯrumpatne porat tau̯ ńawamene, ēkwate nupəl lāws - ",50,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"am sōrumna - ke pateɣŭm,",51,0,A,AV,NoPtcl,fut,irr,none,pfv,1,sg,pron,top,sp,uniq,sap,,,,,,,,
 ti āni mot kȯln wos totawe,52,X,P,PxV,NoPtcl,fut,opt,none,pfv,,,,,,,,I,sg,demnp,act,sp,uniq,strg,
" sɔ̄l', ta χɔ̄tɒl lāws, ",53,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
"ētimɒs, ",54,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,
sorumn ta pats,55,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
" tau̯ sorŭmpats, ",56,0,A,AxV,NoPtcl,pst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg,,,,,,,,
ɔ̄ln āni wȯı̯wès,57,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,barenp,act,sp,uniq,strg,
 mot ı̯ɔ̄ru kȯln ta tūlwès,58,X,P,V,ta,pst,ind,none,pfv,,,,,,,,I,sg,zero,act,sp,uniq,strg,
