,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 kit χum χāp kiwərt l'ul'eı̮ɣ ꞩaT pı̮ɣaɣe,156,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,du,barenp,ref,sp,uniq,w_brdg,,,,,,,,
 Lawi,157,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
" - nēn am tit tārateɣŭm, wit tarməl, ",158,1,A,PAxV,NoPtcl,fut,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,2,du,pron,act,sp,uniq,sap,
tau̯ χarꞩatame porat W χɔ̄n ɔı̯ke χūntum laste,159,1,AP,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,,
 - Manər tarwitəŋ matər pats? ,160,0,A,AV,NoPtcl,pst,ind,quest,pfv,U,abst,indefp,undef,nonsp,nuniq,nfam,,,,,,,,
"tuwəl āŋkwatɒs, ",161,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
ta kasasalasaɣe ,162,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,du,zero,act,sp,uniq,strg,
χapəŋ χumı̮ɣ kasalasaɣe,163,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,du,barenp,top,sp,uniq,strg,
" sunsi,",164,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 sar manər wareı̮ɣ,165,1,A,PV,NoPtcl,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,U,abst,indefp,,,,,
 ań χultne pon ta tarmatwes witta ,166,X,P,PV,ta,pst,ind,none,pfv,,,,,,,,I,sg,barenp,ref,sp,uniq,nfam,
lȯŋχal' ta nata weı̮ɣ,167,0,P,V,ta,npst,ind,none,npfv,,,,,,,,H,du,zero,act,sp,uniq,strg,
 tēnki l'ul'eı̮ɣ,168,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,pron,top,sp,uniq,strg,,,,,,,,
" akw mat ērt χūntleı̮ɣ, ",169,0,A,V,NoPtcl,npst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
χul ta ꞩaltme suiti,170,0,A,AV,ta,npst,ind,none,pfv,I,sg,possnp,ref,sp,nuniq,nfam,,,,,,,,
" nɔ̄ŋχ alməstèn, ",171,1,AP,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,sg,zero,ref,sp,nuniq,w_prcp,
"χāpen pinsanen, χūlanèn",172,1,AP,VP,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,A,pl,dpossnp,act,sp,uniq,strg,
 tuwəl Wχ ɔı̯ka pı̮ɣaɣe nupəl lāwi - ,173,0,A,AxV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
" Minēn,",174,0,A,V,NoPtcl,fut,imp,none,pfv,2,du,zero,act,sp,uniq,sap,,,,,,,,
 puweɣēn,175,1,AP,V,NoPtcl,fut,imp,none,pfv,2,du,zero,act,sp,uniq,sap,H,du,zero,act,sp,uniq,strg,
 χāpəŋ taɣəl puweɣēn,176,1,AP,V,NoPtcl,fut,imp,none,pfv,2,du,zero,act,sp,uniq,sap,H,du,zero,act,sp,uniq,strg,
 kit χum minası̮ɣ,177,0,A,AV,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
" tuw ı̯oχ təı̮ɣ, ",178,0,A,V,NoPtcl,npst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
χap ta puwɔstèn,179,1,AP,PV,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg,
 χomi ta rau̯tsastèn,180,1,AP,V,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg,
 χumı̮ɣ ta puwwesı̮ɣ,181,X,P,PV,ta,pst,ind,none,pfv,,,,,,,,H,du,barenp,act,sp,uniq,strg,
 ta porat STϽ numən ı̯olal' sunsi,182,X,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,,
" pı̮ɣaɣe kit χumn ta puwwesı̮ɣ, ",183,1,P,PAV,ta,pst,ind,none,pfv,H,du,barenp,act,sp,uniq,strg,H,du,possnp,act,sp,uniq,strg,
χomi soswesı̮ɣ,184,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,du,zero,act,sp,uniq,strg,
" ta kos χārꞩatɒs, ",185,0,A,V,ta+,pst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
ta kos χārꞩatɒs,186,0,A,V,ta+,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 manare wiɣ! ,187,1,A,PV,NoPtcl,fut,ind,quest,pfv,H,sg,zero,top,sp,uniq,strg,U,abst,indefp,undef,nonsp,nuniq,nfam,
wiŋkwe at ta werməsaɣe,188,1,INF-AP,PV,ta,pst,ind,neg,npfv,H,sg,zero,top,sp,uniq,strg,H,du,zero,act,sp,uniq,strg,
 ı̯olu sunsi – ūs,189,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" ı̯ola totwesı̮ɣ, ūsən, ",190,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,du,zero,act,sp,uniq,strg,
"laɣlanēn neı̮ɣwesət, ",191,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,pl,possnp,top,sp,uniq,strg,
kātanèn neı̮ɣwesət,192,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,pl,possnp,top,sp,uniq,strg,
 kēr kwalɣəl nēı̮ɣwesət,193,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,I,pl,zero,top,sp,uniq,strg,
 kēr sirn aluŋkwe ta taɣatawesı̮ɣ,194,X,INF-P,PV,ta,pst,ind,none,pfv,,,,,,,,H,du,zero,top,sp,uniq,strg,
" piɣaɣe, sunsi",195,X,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
" ta alwesı̮ɣ, ",196,X,P,PV,ta,pst,ind,none,pfv,,,,,,,,H,du,possnp,top,sp,uniq,strg,
ker sirna taɣatawesı̮ɣ,197,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,du,zero,top,sp,uniq,strg,
 tau̯ ta rɔχtəs,198,0,A,AV,ta,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,,,,,,,,
" - am χum wāreɣŭm, wası̮ɣ ı̯ɔ̄r ta! ",199,X,A,AxV,NoPtcl,fur,ind,none,pfv,1,sg,pron,top,sp,uniq,sap,,,,,,,,
 Ta PϽ palt ta minas,200,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" «tau̯ l'apat ɔ̄li, ",201,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg,,,,,,,,
"wāɣte, tau̯ ań»",202,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 tuu̯ ta ı̯oχtı̮ɣpɒs,203,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
" ı̯uu̯ saltəs, ",204,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
TPϽ ı̯uu ūnli,205,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
 kitəɣlaŋkwe patwes,206,X,INF-P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,act,top,sp,uniq,strg,
 - ti manrı̮ɣ tı̮ɣ ı̯oχtəsən? ,207,0,A,V,NoPtcl,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,
naŋ nēm χuńt at ı̯olantasən ,208,0,A,AxV,NoPtcl,pst,ind,neg,npfv,2,sg,pron,top,sp,uniq,sap,,,,,,,,
tı̮ɣ at ı̯oχtalas ,209,0,A,V,NoPtcl,pst,ind,neg,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
manurəl ı̯oχtəsən - ,210,0,A,V,NoPtcl,pst,ind,quest,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
"am, lāwi,",211,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
" perı̯im wit χul tit ɔ̄li, ",212,0,A,AxV,NoPtcl,npst,ind,none,npfv,A,mass,barenp,typid,sp,nuniq,nfam,,,,,,,,
χūl alne māɣəs ı̯isŭm! - ,213,0,A,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,,
χūl alasən? - āti,214,1,A,PV,NoPtcl,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,A,mass,barenp,typid,nonsp,nuniq,nfam,
" pı̮ɣaɣŭm ań mūnt ı̯ola taratasum, χūl aluŋkwe",215,1,A,PxV,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,H,du,possnp,fam,sp,uniq,strg,
 - aleı̮ɣ - a? - ,216,X,A,V,NoPtcl,npst,ind,quest,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
manaren aleı̮ɣ! ,217,X,A,V,NoPtcl,npst,ind,quest,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
kit χumn ı̯oχtuwesı̮ɣ,218,X,P,AV,NoPtcl,pst,ind,none,pfv,H,du,barenp,act,sp,uniq,strg,H,du,zero,typid,sp,nuniq,nfam,
 ta puwumtawèsı̮ɣ,219,X,P,V,ta,pst,ind,none,pfv,,,,,,,,H,du,zero,act,sp,uniq,strg,
 χapèn χomi pērmtawes,220,X,P,PxV,NoPtcl,pst,ind,none,pfv,,,,,,,,I,sg,possnp,ref,sp,uniq,w_brdg,
" tēnki ı̯ol puwwesı̮ɣ, ",221,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,H,du,pron,act,sp,uniq,strg,
"wit kiwər ūsən totwesı̮ɣ,",222,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,du,zero,act,sp,uniq,strg,
 tot alwèsı̮ɣ -,223,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,du,zero,act,sp,uniq,strg,
" ı̯a, ta, lāwi, naŋ kitı̮ɣlasən? ",224,1,AP,AV,NoPtcl,pst,ind,quest,pfv,2,sg,pron,act,sp,uniq,sap,1,sg,zero,act,sp,uniq,sap,
wit χϽ tot ɔ̄li,225,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,,
 ūsəŋ tāɣəl ta ɔ̄li,226,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
" - am at wāɣlum, ",227,1,AP,AV,NoPtcl,npst,ind,neg,npfv,1,sg,pron,act,sp,uniq,sap,,,,,,,,
manurəl kitı̮ɣleɣŭm ,228,X,A,V,NoPtcl,npst,ind,none,npfv,1,sg,zero,top,sp,uniq,sap,,,,,,,,
am naŋən wowuŋkwe ı̯oχtəsŭm,229,0,INF-A,APV,NoPtcl,pst,ind,none,pfv,1,sg,pron,top,sp,uniq,sap,,,,,,,,
" naŋ ı̯alnuwən - ke, ",230,0,A,AV,NoPtcl,fut,irr,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,
naŋən woweɣum,231,1,A,PV,NoPtcl,npst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,2,sg,pron,act,sp,uniq,sap,
" TPϽ puŋke ı̯olanūw̭ moꞩ ɔ́ńsaste, ",232,1,AP,APxV,NoPtcl,pst,ind,none,npfv,H,sg,barenp,fam,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg,
tuwəl lāwi - ,233,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
"ı̯aleɣŭm, ",234,0,A,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,,,,,,,,
manrı̮ɣ at' ı̯aleɣŭm,235,0,A,V,NoPtcl,fut,ind,quest/neg,pfv,1,sg,zero,top,sp,uniq,sap,,,,,,,,
 anum wȯwəslən,236,1,AP,PV,NoPtcl,pst,ind,none,pfv,2,sg,zero,act,sp,uniq,sap,1,sg,pron,top,sp,uniq,sap,
 Pı̮ɣe nupəl ta lāws: -,237,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 χɔ̄ntlaχtən luwaɣamèn puweı̮n,238,1,AP,PV,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,A,du,possnp,ref,sp,uniq,nfam,
 ꞩērmatəs ,239,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
"ꞩērmattein, ",240,1,AP,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,A,du,zero,act,sp,uniq,strg,
seltan nen tuw pinen,241,1,A,PV,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,pl,possnp,ref,sp,uniq,w_brdg,
 tuwəl ꞩermattas aɣe ,242,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,A,du,zero,act,sp,uniq,strg,
"ꞩetlonèn tus pinɒs, ",243,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,act,sp,uniq,strg,
aꞩu palt ı̯uu̯ ꞩaltəs,244,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 ı̯uu̯ ꞩaltwe āꞩe masχatum,245,0,A,AV,NoPtcl,pst,evid,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
 - luwaɣamèn astsı̮ɣ! ,246,0,A,AV,NoPtcl,pst,ind,none,pfv,A,du,possnp,act,sp,uniq,strg,,,,,,,,
"kon kwalsət,",247,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
 luw sisən ta tālsət ,248,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
ta minasət,249,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
" minūŋkwe patsət, ",250,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
TPϽ lāwi - ,251,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"MSχ palt χoı̯iɣlèw, ",252,0,A,V,NoPtcl,fut,hort,none,pfv,1,pl,zero,act,sp,uniq,sap,,,,,,,,
tuwəl tāra = minēw,253,0,A,V,NoPtcl,fut,hort,none,pfv,1,pl,zero,top,sp,uniq,sap,,,,,,,,
" - minasət,",254,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
 tuwəl ta ı̯oχtesət,255,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
" - Mēn, TPϽ lāwi, ",256,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"luw sist ūnlimèn, ",257,0,A,AxV,NoPtcl,fut,ind,none,npfv,1,du,pron,act,sp,uniq,sap,,,,,,,,
"naŋ ı̯uu̯ ꞩaltsen, ",258,0,A,AV,NoPtcl,fut,imp,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,
MSχ woweln,259,1,AP,PV,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,H,sg,barenp,act,sp,uniq,strg,
 ꞩT ı̯uu̯ saltəs,260,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
" - ta, MSϽ lāwi, ",261,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
naŋ manurəl tı̮ɣ ı̯oχ təsəsn? - ,262,0,A,AxV,NoPtcl,pst,ind,quest,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,
"am, lāwi,",263,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 ań wit χul alne māɣəs ı̯oχtəsŭm - ,264,0,A,AxV,NoPtcl,pst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,,,,,,,,
alasən? - ,265,X,A,V,NoPtcl,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,
manarŭm alilum! ,266,1,AP,V,NoPtcl,npst,ind,quest,npfv,1,sg,zero,act,sp,uniq,sap,U,abst,indefp,undef,nonsp,nuniq,nfam,
pı̮ɣaɣŭm alwesı̮ɣ! ,267,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,H,du,possnp,fam,sp,uniq,strg,
am naŋəŋ ı̯ot wowilŭm,268,1,AP,APV,NoPtcl,npst,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,2,sg,pron,act,sp,uniq,sap,
 ı̯alnuwən ke,269,0,A,V,NoPtcl,fut,irr,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
" - wowχatsən, ",270,0,A,V,NoPtcl,pst,ind,none,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,
" at χuń ı̯aleɣŭm,",271,0,A,V,NoPtcl,fut,ind,quest,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,,
 ı̯aleɣŭm,272,0,A,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,,,,,,,,
 pı̮ɣe nupəl l’awi - ,273,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
"ı̯alen, ",274,0,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,
"kon kwalen, ",275,0,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
χɔ̄ntlaχtən lawaɣamèn pawern,276,1,AP,PV,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,A,du,possnp,ref,sp,uniq,nfam,
" pı̮ɣe kon kwals,",277,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
 taı̯aɣe puwsaɣe,278,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,du,demp,act,sp,uniq,strg,
" ꞩermattasaɣe, ",279,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,du,zero,act,sp,uniq,strg,
ꞩetlanèn pinɒs,280,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,possnp,typid,sp,nuniq,nfam,
" ı̯uu̯ ꞩaltəs,",281,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 āse masχatɒm,282,0,A,AV,NoPtcl,pst,evid,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
 āꞩe nupəl lāwi - ,283,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
"luwaɣamèn ꞩermattasaɣum, ",284,1,AP,PV,NoPtcl,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,A,du,possnp,act,sp,uniq,strg,
ꞩetla taɣum,285,1,AP,V,NoPtcl,pst,ind,none,pfv,1,sg,zero,top,sp,uniq,sap,A,du,zero,top,sp,uniq,strg,
 minne māɣəs kon ta kwalsət,286,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
 luwe sisən ta tulsət,287,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
 at luwəŋ χum akw ı̯ot ta mineɣt ,288,0,A,AxV,ta,npst,ind,none,npfv,H,pl,barenp,act,sp,uniq,strg,,,,,,,,
akw matērt WχϽ ı̯un ɔ̄li,289,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,,
 kōle ńūu̯ saŋkwe ta pats,290,0,INF-A,APV,ta,pst,ind,none,pfv,I,sg,possnp,ref,sp,uniq,w_brdg,,,,,,,,
 kȯle tı̮ɣl'e - tuwl'e nas nūu̯si,291,0,A,AxV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,act,sp,uniq,strg,,,,,,,,
" kon aŋkwatɒ, ",292,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
nas āt'i χɔ̄nt ta ı̯uw,293,0,A,AV,ta,npst,ind,none,npfv,I,sg,barenp,ref,sp,uniq,nfam,,,,,,,,
 at luwəŋ χum,294,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
" tan ı̯inènəl ta tarwit ta, ūse akwaı̮ɣ aln sakwali! ",295,0,A,AxV,NoPtcl,npst,ind,none,pfv,I,sg,possnp,ref,sp,uniq,w_prcp,,,,,,,,
"tuwəl wit num paln ta neı̮ɣlapɒs,",296,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 l'al't ta pȯı̯ki,297,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 kon kwalme pȯrat WχϽ sāt pı̮ɣ sāt ɔ̄tər nupəl lāwi - ,298,0,A,AxV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,
"nan tɔ̄rum nupəl lāwen, ",299,0,A,AxV,NoPtcl,fut,imp,none,pfv,2,pl,pron,act,sp,uniq,sap,,,,,,,,
pȯı̯kꞩen,300,0,A,V,NoPtcl,fut,imp,none,npfv,2,pl,zero,top,sp,uniq,sap,,,,,,,,
sāt pȯrı̮ɣ tur nōŋχ taktalen,301,1,A,PV,NoPtcl,fut,imp,none,pfv,2,pl,zero,top,sp,uniq,sap,I,pl,barenp,ref,sp,uniq,nfam,
 ti χɔ̄tɒl mus ta ɔ̄lsŭw! ,302,0,A,V,ta,pst,ind,none,pfv,1,pl,zero,act,sp,uniq,sap,,,,,,,,
wit χ ūsuw ti χɔ̄tɒs wońsalı̮ɣ ta totawè! ,303,X,P,PxV,ta,fut,ind,none,pfv,,,,,,,,I,sg,possnp,act,sp,uniq,strg,
χɔ̄nt ta ı̯uu̯,304,0,A,AV,ta,npst,ind,none,npfv,I,sg,barenp,act,sp,uniq,strg,,,,,,,,
" am tan l'al'tanəl pȯı̯keɣŭm, ",305,0,A,AxV,NoPtcl,fut,ind,none,npfv,1,sg,pron,act,sp,uniq,sap,,,,,,,,
nan tɔ̄rum l'al't pȯı̯ken,306,0,A,AxV,NoPtcl,fut,imp,none,npfv,2,pl,pron,act,sp,uniq,sap,,,,,,,,
" takwi kȯn neı̮ɣlapas, ",307,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,,,,,,,,
"wit num paln ta  nɔ̄ŋχ ta neı̮ɣlɒs, ",308,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
tan l'al'tanəl ta pȯı̯ki,309,0,A,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" kāеaɣe l'al't takamaɣe, ",310,1,AP,PxV,NoPtcl,pst,evid,none,pfv,H,sg,zero,top,sp,uniq,strg,I,du,possnp,ref,sp,uniq,nfam,
sȯpe palı̮ɣ rāɣatum,311,0,A,AV,NoPtcl,pst,evid,none,pfv,I,sg,possnp,top,sp,uniq,strg,,,,,,,,
 ta kēməl ta rɔ̄χtəs,312,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 tan tuwəl ta sȯı̯məsət,313,0,A,AxV,ta,pst,ind,none,pfv,H,pl,pron,act,sp,uniq,strg,,,,,,,,
 tɔ̄rumn χɔ̄ntlaχtŭŋkwe ɔs at taratawet,314,1,INF-P,APxV,NoPtcl,npst,ind,neg,npfv,H,sg,barenp,act,sp,uniq,strg,H,pl,zero,act,sp,uniq,strg,
" ta poı̯tsət, ",315,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
 ta sȯı̯məst ,316,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
wit χɔ alne māɣəs minasət kos,317,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
 TPϽ lāwi -,318,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
" Wχ matər wārs, ",319,1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,U,abst,indefp,undef,nonsp,nuniq,nfam,
ta wārs,320,X,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" ań naŋ; ꞩT nunəl lāwi, ",321,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
wońsaln at mineɣən,322,0,A,AxV,NoPtcl,fut,ind,neg,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,
 mana sāwit wērmeɣən ,323,1,A,PV,NoPtcl,fut,ind,none,npfv,2,sg,zero,top,sp,uniq,sap,U,abst,barenp,ref,sp,nuniq,nfam,
χūl alen ,324,1,A,PV,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,A,mass,barenp,typid,nonsp,nuniq,nfam,
mana kem aleɣən ,325,1,A,PV,NoPtcl,fut,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,U,abst,indefp,ref,sp,nuniq,nfam,
naŋ ki mān toten,326,X,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
 Nila luwəŋ χum ań ı̯uu̯ ta minasət,327,0,A,AxV,ta,pst,ind,none,pfv,H,pl,barenp,act,sp,uniq,strg,,,,,,,,
 χolitan ꞩT an witχulaluŋkwe ta pats,328,0,INF-A,AxPV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
 ań mana kēm nȯmte pati ,329,0,A,AxV,NoPtcl,npst,ind,none,npfv,U,abst,indefp,undef,nonsp,nuniq,nfam,,,,,,,,
witχul ta ali,330,1,A,PV,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,A,mass,barenp,ref,nonsp,nuniq,strg,
 pı̮ɣaɣe alwesı̮ɣ ,331,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,H,du,possnp,fam,sp,uniq,strg,
ta māɣəs wit χull ta lawwes!,332,X,P,V,ta,pst,ind,none,pfv,,,,,,,,H,sg,zero,ref,nonsp,nuniq,strg,
