,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 taku̯si uj sɔ̄t tawenəl χun’ pȱjkimen.,31,1,A,PxV,NoPtcl,fut,ind,quest,npfv,1,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,strg,
 aꞩēn ɔ̄jka taχ nɔməsi: ,32,0,A,AxV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
 „taχ l’ulsɒŋ ta lāwsı̮.,33,0,A,V,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
 narı̮ɣtaχtasət,34,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
 ɔs ta nātawət,35,0,P,V,ta+,npst,ind,none,npfv,,,,,,,,H,pl,zero,top,sp,uniq,strg,
 taɣt kȯtl’en jɔχtəst. ,36,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
 an’ ɔjka lāwi:,37,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
 - jɔmas mān pȱχtēn. ,38,0,A,V,NoPtcl,fut,imp,none,pfv,2,du,zero,act,sp,uniq,sap,,,,,,,,
 pū̬rlaχtēn. ,39,0,A,V,NoPtcl,fut,imp,none,npfv,2,du,zero,top,sp,uniq,sap,,,,,,,,
" n’aŋra pupı̮ɣ ūnlən mātl, wāɣəŋ pupı̮ɣ ūnlən mātl. ",40,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
" tuji χul sɔ̄t pȱjken,",41,1,A,PV,NoPtcl,fut,imp,none,npfv,2,du,zero,act,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,strg,
 taku̯si uj sɔ̄t pȱjkēn. ,42,1,A,PV,NoPtcl,fut,imp,none,npfv,2,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,strg,
 pı̮ɣaɣe lāweı̮ɣ:,43,0,A,AV,NoPtcl,npst,ind,none,pfv,H,du,possnp,act,sp,uniq,strg,,,,,,,,
" - naŋ pū̬rlən matər ke ɔn’ꞩeɣən,",44,1,A,APV,NoPtcl,npst,irr,none,npfv,2,sg,pron,act,sp,uniq,sap,U,abst,indefp,undef,nonsp,nuniq,nfam,
 naŋ pū̬rleln. ,45,1,AP,AV,NoPtcl,fut,imp,none,npfv,2,sg,pron,top,sp,uniq,sap,U,abst,zero,ref,nonsp,nuniq,nfam,
 mēn tawen pū̬rlən matər at ɔn’ꞩimen,46,1,A,APV,NoPtcl,npst,ind,neg,npfv,1,du,pron,act,sp,uniq,sap,U,abst,indefp,undef,nonsp,nuniq,nfam,
" tuji χul sɔ̄t tawenəl χun’ pȱjkimen,",47,1,A,PxV,NoPtcl,fut,ind,quest,npfv,1,du,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,strg,
