,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 mań mȯꞩ nē nȯmsi:,145,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,
 nas āt'i wȯrt ɔlnut kȯln patum!,146,0,A,V,NoPtcl,pst,evid,none,pfv,1,sg,zero,top,sp,uniq,sap,,,,,,,,
" ak mat nakı̮ɣ jēmtəs,",147,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,
 WƆ ta ńɔu̯suŋkwe pāts,148,0,INF-A,APV,ta,pst,ind,none,pfv,A,sg,barenp,ref,sp,uniq,strg,,,,,,,,
" w ɔ̄ tuw nɔχ kā̇ls,",149,0,A,AxV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,act,sp,uniq,strg,,,,,,,,
 kātlampe mań mȯꞩ nē sȱpen tȯtəste,150,1,AP,PxV,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg,
" man mȯꞩ nē kāt lampe ńȯlantite,",151,1,AP,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg,
" tuwl sime ta pȯjtəs,",152,0,A,AV,ta,pst,ind,none,pfv,I,sg,possnp,act,sp,uniq,strg,,,,,,,,
 sime pȯjtəs:,153,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,top,sp,uniq,strg,,,,,,,,
 alpite rḗı̮ɣtı̮ɣlɒs,154,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,possnp,act,sp,uniq,strg,,,,,,,,
" Ak nakı̮ɣ jēmtəs,",155,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,
 tuwl WƆ kolēnəl kȯna kā̇ls,156,0,A,AxV,NoPtcl,pst,ind,none,pfv,A,sg,barenp,act,sp,uniq,strg,,,,,,,,
" kȯn kā̇ls,",157,0,A,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,,,,,,,,
 χɔtɒl nasāt’i rēɣəŋı̮ɣ jēmtu̮m,158,0,A,AxV,NoPtcl,pst,evid,none,pfv,I,sg,barenp,ref,sp,uniq,w_glob,,,,,,,,
" tɔχ unlimate ak mat ērt, χɔtpa ti jomnēte suiti",159,0,A,AV,ti,npst,ind,none,pfv,I,sg,possnp,ref,sp,uniq,nfam,,,,,,,,
 tan palte ti jōχtı̮ɣpas,160,0,A,V,ti,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
" - mań mȯꞩ nē, - lāwi,",161,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 - χuml'e saw-a?,162,,,,NoPtcl,,,quest,,,,,,,,,,,,,,,,
 mań mȯꞩ ne juwl'e l'āɣalɒs,163,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
" - ꞩuń χun, ul saw!",164,,,,NoPtcl,,,,,,,,,,,,,,,,,,,
 ań ēləl jȯχtum nēte l'aɣalɒs,165,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,dpossnp,act,sp,uniq,strg,,,,,,,,
 - am jȯtum mineɣən?,166,0,A,V,NoPtcl,fut,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,
 an nētḗn tȯtawe,167,1,P,AV,NoPtcl,npst,ind,none,npfv,H,sg,dpossnp,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg,
 kȯln jɔ̇χtɒsı̮ɣ,168,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
" ńar nāŋk, ńar χȯu̯t ɔłtum kȯln jȯχtɒsı̮ɣ",169,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 juw ꞩaltsı̮ɣ,170,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
 tuwl mań mȯꞩ ne χāsap sajŋ paln ūnttawes,171,X,P,PxV,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,barenp,top,sp,uniq,strg,
" ań miš nēte pı̮ɣ ɔńsi,",172,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,dpossnp,fam,sp,uniq,strg,H,sg,barenp,ref,sp,uniq,w_brdg,
 tuw mań moꞩ nē miš χumn wȯjwes,173,1,P,PAV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,barenp,uniq,sp,uniq,nfam,
" χȯs wāti ɔ̄lstēn,",174,1,AP,V,NoPtcl,pst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
 mań mȯꞩ nē pı̮ɣ ȯńꞩəs,175,1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,barenp,ref,sp,uniq,w_brdg,
 (χȯsa man māt'i ɔ̄lsı̮ɣ),176,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
" pı̮ɣ ɔꞩme jui palt, χumite lauljuwe,",177,0,P,PV,NoPtcl,npst,ind,none,pfv,,,,,,,,H,sg,possnp,act,sp,uniq,strg,
 tuwl pɔχɒn pȯswes,178,X,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,zero,top,sp,uniq,strg,
