,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
Mol v<ō>rt<ō>lnut <ā>ŋk[v]e lāvom vārmil̩ nomite.,408,1,AP,PV,,npst,ind,,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,fam,sp,uniq,strg,
n̩<ō>vlil mive,409,X,P,V,,npst,ind,,npfv,,,,,,,,H,sg,zero,top,sp,uniq,strg,
tav akan pi<u>nijane.,410,1,AP,AV,,npst,ind,,npfv,H,sg,pron,top,sp,uniq,strg,I,pl,zero,act,sp,uniq,strg,
<ū>sьŋ <ō>tьr <ō>jka h<ū>r<o̬>m <ē>t ji<e>ksьt.,411,0,A,AxV,,pst,ind,,pfv,H,pl,barenp,act,sp,uniq,strg,,,,,,,,
n̩ilьt <ē>tanь<ə>l <ē>t k<o̯>t̩i<ł̩>t v<ō>rt<ō>lnut <ā>ɧь<i> kona kals.,412,0,A,AV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"kol p<ō>hat jomiɧt<ь>imate, kolala nupil āŋk[v]atьs.",413,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
<ā>ŋk[v]e kit navremaɧe jot <ū>nlь.,414,0,A,AxV,,npst,ind,,npfv,A,sg,possnp,fam,sp,uniq,strg,,,,,,,,
ak piɧe l<ā>vi,415,0,A,AV,,npst,ind,,pfv,A,sg,possnp,act,sp,uniq,strg,,,,,,,,
am k<ā>tom <ā>ɧmь<i>ŋ.,416,,,,,,,,,,,,,,,,,,,,,,,
V<ō>rt<ō>lnut <ē>ka l<ā>vi:,417,0,A,AV,,npst,ind,,pfv,A,sg,barenp,act,sp,uniq,strg,,,,,,,,
"""<ē>lamholas n<ē> jaɧ<ā>ɧьjana tav ulpil matь<ə>r <ł̩>ul̩ v<ā>rs.""",418,1,A,AxPV,,pst,ind,,pfv,H,sg,pron,act,sp,uniq,strg,,,,,,,,
<ē>lamholas n<ē> jaɧ<ā>ɧьjanьl l<ā>vs:,419,0,A,AV,,pst,ind,,pfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,
"""am juv jaleɧom.""",420,0,A,AV,,npst,ind,,pfv,1,sg,pron,top,sp,uniq,sap,,,,,,,,
juv ꞩa<łt>sьs,421,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
s<ū>n kivьrt akan atьm n<ō>vl̩ane kon totsane.,422,1,AP,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,fam,sp,uniq,strg,
v<ō>rt<ō>lnut jaɧpiɧen misane.,423,1,AP,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,
v<ō>t<ō>lnut piɧriꞩ l<ā>vi,424,0,A,AV,,npst,ind,,pfv,A,sg,zero,top,sp,uniq,strg,,,,,,,,
am j<ō>masь<ı̮>ɧ ti j<ē>mtьs.,425,0,A,AxV,ti,pst,ind,,pfv,1,sg,zero,top,sp,uniq,sap,,,,,,,,
v<ō>rt<ō>lnut <ē>ka aɧьte nupil potьrtaŋk[v]e pats:,426,0,INF-A,AxPV,,pst,ind,,pfv,A,sg,barenp,act,sp,uniq,strg,,,,,,,,
"naŋ <ā>ɧ<i>k<ē>, ti h<ō>ta:lnьl h<ū>rmit h<ō>tal porat <ō>nьpь<i>ntьl u<ł̩> iv totne n̩<ł̩><ō>h pa<t>tan johtēna,",427,0,A,AxV,,npst,imp,,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,
"am tot naŋьn uꞩ ha<ń>iꞩtьlom.""",428,1,AP,AxPxV,,npst,ind,,pfv,1,sg,pron,act,sp,uniq,sap,2,sg,pron,top,sp,uniq,sap,
<ā>nk[v] tь l<ā>tne <ō>jmata<ɒ>s,429,0,A,AV,,pst,ind,,pfv,I,sg,possnp,ref,sp,uniq,w_brdg,,,,,,,,
i <ū>nlom ko<a>n<ē>t at<'>im.,430,,,,,,,neg,,,,,,,,,,,,,,,,
<ū>sьŋ <ō>tьr <ō>jka man̩e ti jujipałt juv ꞩa<ł>tьs.,431,0,A,AxV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
kol ꞩar tāɧl<ē>na <ē>lamholasьl johtь<i>ma.,432,X,P,PxV,,pst,evid,,pfv,I,sg,barenp,fam,sp,uniq,strg,,,,,,,,
Jikne mir halt m<ā>h<o̬>m potьrtanenьl sijtь.,433,0,A,AV,,npst,ind,,npfv,I,abst,possnp,ref,sp,uniq,w_prcp,,,,,,,,
Man̩ moꞩhum ji<e>kaŋk[v]e johtьs.,434,0,INF-A,APV,,pst,ind,,pfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,,
M<ā>hom potьrteɧ[ь]t̥:,435,X,A,AV,,npst,ind,,npfv,H,pl,barenp,ref,sp,nuniq,w_brdg,,,,,,,,
"""V<ō>rt<ō>lnut <ā>ɧь man̩a<n> <v>os ji<e>k[v]i"".",436,0,A,AV,,npst,opt,,npfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
"Man̩ moꞩhum <ū>nlь,",437,0,A,AV,,npst,ind,,npfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"j<ō>mi,",438,0,A,V,,npst,ind,,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
ji<e>k<v>i,439,0,A,V,,npst,ind,,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
<ā>k<v>a<ı̮>ɧ n<ō>msь<i>.,440,0,A,V,,npst,ind,,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"""hotьl <ū>sьŋ <ō>tьr <ō>jka v<ō>rt<ō>lnut n<ē> man̩ vi<u>s"".",441,1,A,APV,,pst,ind,quest,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,barenp,act,sp,uniq,strg,
<ō>s n<ō>msь<i>:,442,0,A,V,,npst,ind,,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
"mol piɧom l<ā>vi,",443,0,A,AV,,npst,ind,,pfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,,
h<ō>tpa porsan̩at potьrtьs.,444,X,A,AxV,,pst,ind,,pfv,H,sg,barenp,fam,sp,uniq,strg,,,,,,,,
Toha l<ā>vi:,445,0,A,V,,npst,ind,,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
"Man moꞩne jaɧpiɧ<ē>n rav kos s<ā>ɧrav<ē>s,",446,1,P,PAV,,pst,ind,,pfv,H,sg,possnp,act,sp,uniq,strg,H,sg,barenp,fam,sp,uniq,strg,
porse<ı̮>ɧ at minь<i>.,447,0,A,V,,npst,ind,neg,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"an̩ t<ē>ls porɧe<ı̮>ɧ,",448,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
v<ō>rt<ō>lnut johtь,449,0,A,AV,,npst,ind,,pfv,A,sg,barenp,typid,sp,nuniq,nfam,,,,,,,,
juv tēvē,450,X,P,V,,npst,ind,,pfv,,,,,,,,H,sg,zero,act,sp,uniq,strg,
"i jēmtь ēlamholase<ı̮>ɧ.""",451,0,A,V,,npst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"man̩ moꞩhum n<ōm>si,",452,0,A,AV,,npst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"""<ē>riŋ ta<u> [vor] <ē>lamholasiɧ j<ē>mtьs.""",453,0,A,AxV,,pst,ind,,pfv,H,sg,pron,act,sp,uniq,strg,,,,,,,,
man̩ moꞩhum tikos laꞩiɧlьte mana huripa n<ē> sunsaŋk[v]e.,454,0,INF-AP,AV,ti,npst,ind,,npfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
v<ō>rt<ō>lnut <ā>ɧь l̩<ă>pan at r<ō>vi.,455,0,A,V,,npst,ind,neg,npfv,,,,,,,,,,,,,,,
Ji<e>kanьl par{ь}s,456,0,A,AV,,pst,ind,,pfv,I,abst,possnp,ref,sp,uniq,w_prcp,,,,,,,,
mir la<k>ka minast.,457,0,A,AV,,pst,ind,,pfv,H,pl,barenp,ref,sp,nuniq,w_brdg,,,,,,,,
V<ō>rt<ō>lnut <ā>ɧь h<ō>ta<ɒ>lane l<ō>vintьman oꞩsane.,458,1,AP,APxV,,pst,ind,,npfv,H,sg,barenp,act,sp,uniq,strg,I,pl,possnp,ref,sp,uniq,w_brdg,
kit h<ō>tal <ō>ls,459,0,A,AV,,pst,ind,,pfv,,,,,,,,,,,,,,,
h<ū>rmit h<ō>tal<ē>t <ō>nьpe v<ō>vs u<ł'>i<ji>v totne <ł>ōŋh pa<t>tan.,460,X,A,AV,,pst,ind,,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,possnp,fam,sp,uniq,strg,
u<ł'><ji>v totne <ł̩><ō>ŋh pa<t>tat āŋk[v]e i jaɧpiɧaɧe h<ō>ntsaɣena.,461,1,AP,PV,,pst,ind,,pfv,H,du,zero,act,sp,uniq,strg,A,sg,barenp,fam,sp,uniq,strg,
V<ō>rt<ō>lnut <ē>kva <ā>ɧьte nupь<i>l potьrtaŋk[v]e pats.,462,0,INF-A,AxPV,,pst,ind,,pfv,A,sg,barenp,act,sp,uniq,strg,,,,,,,,
"""naŋ <ā>ɧ<i>ke t<ō>romn h<ō>sa <ō>laŋk[v]e l<ā>vsav<ē>sьn.",463,1,P,PAxV,,pst,ind,,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,
an̩ t<ō>r<u̮>mn nurьŋьɧ vojvesьn. jaɧpiɧьn palt jalmin m<ā>ɧьs.,464,1,P,AxV,,pst,ind,,pfv,H,sg,barenp,fam,sp,uniq,strg,2,sg,zero,top,sp,uniq,sap,
L<ā>vsav<ē>sьn hūr<ŏ>m s<ā>t t<ā>l <ō>laŋk[v]e,465,X,P,V,,pst,ind,,pfv,,,,,,,,2,sg,zero,top,sp,uniq,sap,
an̩ <ō>leɧьn kit s<ā>t t<ā>l.,466,0,A,V,,npst,ind,,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
"<ō>s t<ō>r<o̯>m[ь]<n̥> s<ā>t piɧьl, s<ā>t <ā>ɧьl l<ā>vsav<ē>sьn.",467,1,P,AxV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,2,sg,zero,top,sp,uniq,sap,
"tah s<ā>t n̩avreman s<ŏ>r<o̬>m[ь]<n̥> pateɧьt"".",468,0,A,AxV,,fut,ind,,pfv,H,pl,possnp,ref,sp,uniq,w_brdg,,,,,,,,
<ā>ŋk[v]e <ō>s potьrtь:,469,X,A,AxV,,npst,ind,,pfv,A,sg,possnp,act,sp,uniq,strg,,,,,,,,
"""āɧ<i>k[v]e <ō>nьpьntьl j<ō>mas <ō>lena.",470,0,A,V,,npst,imp,,npfv,2,du,barenp,act,sp,uniq,sap,,,,,,,,
"Humin jot <ō>s j<ō>mas <ō>lena"".",471,0,A,V,,npst,imp,,npfv,2,du,zero,act,sp,uniq,sap,,,,,,,,
Jati <ō>s j<ō>mas <ū>l<u̮>m <ō>lena.,472,0,A,V,,npst,imp,,npfv,2,du,zero,top,sp,uniq,sap,,,,,,,,
Man an̩ nɔ̄ŋha mi<e>n<ē>va.,473,0,A,AxV,,npst,ind,,pfv,1,pl,pron,act,sp,uniq,sap,,,,,,,,
Man an̩ n<ɔ̄>ŋha joht<ē>va,474,0,A,AxV,,npst,ind,,pfv,1,pl,pron,top,sp,uniq,sap,,,,,,,,
h<ū>r<o̬>m kan[ь]<n̥> t<ē>l<ē>va.,475,0,A,V,,npst,ind,,pfv,1,pl,zero,top,sp,uniq,sap,,,,,,,,
naŋ toh n<ɔ̄>ŋhal̩e sunsena,476,0,A,AxV,,npst,imp,,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,
v<ō>rt<ō>lnut huripa h<ū>rom sav t<ē>lь.,477,0,A,AV,,npst,ind,,npfv,I,pl,barenp,ref,sp,uniq,nfam,,,,,,,,
"Man tah tot ta ōlaŋk[v]e pat<ē>va"".",478,0,INF-A,AxPV,,fut,ind,,pfv,1,pl,pron,act,sp,uniq,sap,,,,,,,,
Ti l<ā>tɧane <ō>jihpamk<ē>m[ь<i>]t̥ vōrtōlnut ēk[v]a n̩avremaɧa<e> jot n<ɔ̄>ŋha ta minas.,479,0,A,AxV,ta,pst,ind,,pfv,1,sg,barenp,act,sp,uniq,sap,,,,,,,,
V<ō>rt<ō>lnut ā<ɧ>ь <ō>nьp<ē>ntьl sunsьman ta hu<>>l̩sa<e>ɧa.,480,0,A,AxV,ta,pst,ind,,pfv,H,du,barenp,act,sp,uniq,strg,,,,,,,,
na<ɔ̄>ŋh johta<ɒ>st,481,0,A,V,,pst,ind,,pfv,A,pl,zero,act,sp,uniq,strg,,,,,,,,
i tananьl t<ō>ro̬m harit h<ū>rom v<ō>rt<ō>lnut huripa sovt t<ē>lsьt.,482,0,A,AV,,pst,ind,,pfv,I,pl,barenp,fam,sp,uniq,strg,,,,,,,,
V<ō>rt<ō>lnut <ā>ɧь juv mi<e>nas.,483,0,A,AV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"<ō>nьpe <ō>s tav, jot<ē>n minas.",484,0,A,AxV,,pst,ind,,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
juv johtasēɧ<a>,485,0,A,V,,pst,ind,,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,,
h<ō>sa t<ō>rmanьl h<ō>sa{<ı̮>}ɧ <ō>lijanьl,486,1,AP,PxV,,npst,ind,,npfv,H,pl,zero,act,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg,
vat̩i tormanьl v va<t'>t<'>iɧ <ō>lijanьl.,487,1,AP,PxV,,npst,ind,,npfv,H,pl,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg,
