,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
hasap s<ā>[j]<ı̮>ŋ p<ā>lŋ<n> <ū>nt<t><ā>ven.,282,X,P,V,,npst,ind,,pfv,,,,,,,,2,sg,zero,top,sp,uniq,sap,
"usьŋ otьr ojkan, tah man ji<e>kaŋk[v]e, pataveva.",283,0,INF-P,AxPxV,,fut,ind,,pfv,H,sg,barenp,fam,sp,uniq,strg,1,pl,pron,act,sp,uniq,sap,
"tan tah manavnьl n̩<ō>vi<ə><ł> {ńɔ̄wel'} pajtaŋk[v]e pateɧьt,",284,0,INF-A,AxPV,,fut,ind,,pfv,H,pl,pron,act,sp,uniq,strg,I,mass,barenp,ref,sp,uniq,w_brdg,
naŋ ul=t<ā>jen.,285,X,A,AV,,npst,imp,neg,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,
naŋ t<ē>ɧьŋk[v]e {tēɣən=ke},286,X,A,AV,,npst,irr,,pfv,2,sg,pron,top,sp,uniq,sap,,,,,,,,
naŋn v<ā>m p<ā>suv ti,287,,,,,,,,,,,,,,,,,,,,,,,
i naŋ manavn v<ā>mn {pāsən} ti.,288,,,,,,,,,,,,,,,,,,,,,,,
"<ō>s tantah h<ū>r<ŏ>m <ē>t ji<e>keɧ[ь]t,",289,0,A,AxV,,fut,ind,,pfv,H,pl,pron,act,sp,uniq,strg,,,,,,,,
juv hul̩ne <ē>t[ь]<t̥> et k<o̯>til̩ k<ē>mt kona kalen.,290,0,A,V,,npst,imp,,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,,
am naŋьn tont uꞩti han̩ꞩt[ь]ilom.,291,1,AP,APxV,,npst,ind,,pfv,1,sg,pron,act,sp,uniq,sap,2,sg,pron,act,sp,uniq,sap,
(juv totьma varmil̩anьl),292,,,,,,,,,,,,,,,,,,,,,,,
"ta jujipalt akmatert voŋha avsunt, hotpat johtomanьl sijtь. ",293,0,A,AV,,npst,ind,,pfv,I,abst,possnp,ref,sp,uniq,w_prcp,,,,,,,,
vortolnut eka omɧьman kona laks. ,294,0,A,AxV,,pst,ind,,pfv,A,sg,barenp,act,sp,uniq,strg,,,,,,,,
usьŋ otьr ojka piɧatn pisal̩il patamtaves,295,1,P,AxV,,pst,ind,,pfv,H,pl,barenp,fam,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg,
i kona hartves.,296,X,P,V,,pst,ind,,pfv,,,,,,,,A,sg,zero,top,sp,uniq,strg,
