,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
" Noŋh johtьs,",517,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 luve l̩uli,518,0,A,AV,NoPtcl,npst,ind,none,npfv,A,sg,possnp,fam,sp,uniq,strg,,,,,,,
" Luve sisna tāluŋkve pats,",519,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" luven jol parmaptave,",520,1,P,AV,NoPtcl,npst,ind,none,npfv,A,sg,possnp,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
 at taratave,521,X,P,V,NoPtcl,npst,ind,neg,npfv,,,,,,,,H,sg,zero,top,sp,uniq,strg
 Ta vantahtuŋkve pats,522,0,INF-A,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Apꞩite kolna ta johtьs,523,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" Juv ta ꞩaltьs,",524,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Apꞩite lavi:,525,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
 - Hotum ta jolsьn?,526,0,A,V,ta,pst,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
" - Ta jalasasum, lavi,",527,0,A,V,ta,pst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,
 Apꞩite nupьl lavi:,528,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 Am lavi māmna minimen,529,0,A,V,NoPtcl,fut,hort,none,pfv,1,du,zero,act,sp,uniq,sap,,,,,,,
 Apꞩite lavi:,530,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
" - Naŋ hotal̩ mineɧьn,",531,0,A,AxV,NoPtcl,fut,ind,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,
 tuvle ta minimen,532,0,A,V,ta,fut,ind,none,npfv,1,du,zero,act,sp,uniq,sap,,,,,,,
 Kon-kvaluŋkve patsьɧ,533,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,
" Ekvaьɧojkaьɧ man̩ pьɧriꞩ tau kon- kvalas,",534,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,,,,,,,
" - Aman ti sat nakl̩ulit kumьska kol, aman kotli on̩ɧum juntum hoŋhsa hurьɧ kivьrna aman at lapnuv",535,0,A,AxV,NoPtcl,fut,irr,quest,pfv,I,sg,demnp,act,sp,uniq,strg,,,,,,,
 Maɧьste,536,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
" Ꞩamralaste,",537,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 man̩salaste,538,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 Sepen maɧьste,539,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
" Luve sisen talas,",540,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ta minas,541,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Jaltaptam humite palt johtьs,542,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Juv ꞩaltьs,543,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" - I, jatel jaɧpьɧ, ta johtasьh!",544,0,A,V,ta,pst,ind,none,pfv,2,sg,zero,act,sp,uniq,strg,,,,,,,
" - A, lavi, manrьɧ at johteɧum",545,0,A,V,NoPtcl,npst,ind,quest,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,
 Am molal ēt kotil jisaŋ naj ꞩan̩umna jor humьɧ lavvesum,546,1,P,AxPxV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,uniq,sp,uniq,nfam,1,sg,pron,top,sp,uniq,sap
 Ti ma tarmьl olne n̩an̩ pukitna am humle varavum,547,1,P,APxV,NoPtcl,npst,ind,quest,pfv,I,pl,barenp,typid ,nonsp,nuniq,nfam,1,sg,pron,top,sp,uniq,sap
 Kona kvalas,548,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" An̩ lavi man̩ on̩ɧum juntum hoŋhsa hurьɧ kivьrna, aman ti kol aman at lapnuv?",549,,,,,,,,,,,,,,,,,,,,,,
" Ꞩepnьl kon levataste,",550,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
" kol maɧьste,",551,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,top,sp,uniq,strg
 laps,552,0,A,V,NoPtcl,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg,,,,,,,
" Ꞩamralaste,",553,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
