,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
" tı̮ɣəl χujimēn, ",447,0,A,V,NoPtcl,fut,hort,none,pfv,1,du,zero,act,sp,uniq,strg,,,,,,,
ēt kȯt'l' pɔrat nɔŋχa kwalimen,448,0,A,V,NoPtcl,fut,hort,none,pfv,1,du,zero,act,sp,uniq,strg,,,,,,,
" Tɔ̄ru̮m ti ēt, jɔmas ēt, sistam ēt wāri",449,1,A,APV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg,I,sg,demnp,ref,sp,uniq,nfam
 Ti χo̭jası̮ɣ,450,0,A,V,ti,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,
" karꞩ ɔsma pini, ",451,1,A,PV,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,typid,sp,uniq,strg
"akw nɔr l'ul'itn jȯla ꞩalti, … lapi",452,0,A,V,NoPtcl,npst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg,,,,,,,
ēt kȯt'l' porat nɔŋχa-sajkals̥,453,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" ɔnip ekwam, lawi, ",454,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
"sajkataχtən, nɔŋχa, ",455,0,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,strg,,,,,,,
kȯna=kwalimēn,456,0,A,V,NoPtcl,fut,hort,none,pfv,1,du,zero,act,sp,uniq,strg,,,,,,,
" Nɔ̄ŋχ= l'ul'sı̮ɣ, ",457,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,
"jɔmas tɔr, jɔmas sāɣı̮ warsı̮ɣ",458,1,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
 kwalsı̮ɣ kȯna,459,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
 Tɔ̄rum jɔmas ēt wārum,460,1,A,APV,NoPtcl,pst,evid,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
" - Ja, ɔni pu̮m ēkwa, nɔ̄ŋχal' sunsen,",461,0,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,strg,,,,,,,
" jȯli mā mana janit, numi tɔ̄rum ɔs akw ti janit",462,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 numən pɔsəŋ sɔ̄wət lȯwinten,463,1,A,PV,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,strg,I,pl,barenp,ref,sp,nuniq,nfam
 Lȯwintaŋkwe pirmajtas,464,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" Lȯwintas,",465,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" mataχ mat sāt sɔ̄w lȯwintas,",466,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,ref,sp,nuniq,nfam
 kit sɔ̄w ārı̮ɣ,467,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
" kitəntı̮ɣ lȯwintas, ",468,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
"ɔs kit sɔ̄w ārı̮ɣ,",469,,,,,,,,,,,,,,,,,,,,,,
 χuru lon ārı̮ɣ,470,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,,,,,,,,,,,
" akwate mań, akwate jānı̮ɣ",471,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
"Ti ɔ  ekwan, mol χɔtɒl ul' jtȯtne l'ɔ̄ŋχ pattat ta sun səslən, ",472,1,AP,V,ta,pst,ind,none,pfv,2,sg,zero,act,sp,uniq,strg,,,,,,,
"χurijanēn, ań tuw̯ ta pɔ̄ssət, tɔ̄rumn",473,0,A,AxV,ta,pst,ind,none,npfv,I,pl,possnp,act,sp,uniq,strg,,,,,,,
"    minası̮ɣ,",474,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,
 juw ꞩaltsı̮ɣ,475,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
" ēla ɔ̄lmı̮ɣtası̮t, ",476,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
ela χȯ̭lmı̮ɣtasət,477,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
" χuı̯ası̮ɣ, ",478,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
"nɔŋχ kwalsı̮ɣ, - ",479,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
"ja, āki, lāwi,",480,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 sāŋkwəl tapən nɔŋχ=wȯjeln,481,1,AP,PV,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg
 ań sāŋkulten,482,0,A,V,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,strg,,,,,,,
" jɔmɒs tɔr, jɔmas ȱ̭lam masas",483,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,w_brdg
" - ja ti, ākijaɣu̮m=ɔ̄nipaɣu̮m, mȯl χɔ̄tɒl lawijin, ",484,0,A,V,NoPtcl,npst,ind,none,pfv,2,du,zero,act,sp,uniq,strg,,,,,,,
"jikwen,",485,0,A,V,NoPtcl,fut,imp,none,npfv,2,sg,zero,act,sp,uniq,strg,,,,,,,
" am ꞩańum χumus jikwilum, ",486,1,AP,APxV,NoPtcl,npst,ind,quest,pfv,1,sg,pron,act,sp,uniq,strg,A,sg,possnp,act,sp,uniq,strg
"ꞩāńum nan akw ti alaslən, ",487,1,AP,PAV,ti,pst,ind,none,pfv,2,pl,pron,act,sp,uniq,strg,A,sg,possnp,top,sp,uniq,strg
man ꞩɔrumpatas,488,0,A,V,NoPtcl,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,,,,,,,
 anumn sāl,489,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
" am ań wāɣlum,",490,1,AP,AxV,NoPtcl,npst,ind,none,npfv,1,sg,pron,act,sp,uniq,strg,,,,,,,
" tau lilite, χurite ań χɔtal' pɔsɒs, ",491,0,A,AxV,NoPtcl,pst,ind,none,npfv,I,sg,possnp,act,sp,uniq,strg,,,,,,,
ań an wāɣlum,492,1,AP,AV,NoPtcl,npst,ind,none,npfv,1,sg,pron,act,sp,uniq,strg,,,,,,,
 saŋkulten,493,0,A,V,NoPtcl,fut,imp,none,npfv,2,sg,zero,act,sp,uniq,strg,,,,,,,
 am weꞩelitaχteɣu̮m,494,0,A,AV,NoPtcl,npst,ind,none,npfv,1,sg,pron,act,sp,uniq,strg,,,,,,,
