Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
" nortaste, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
 sotьr loptap sorniŋ hole asьɧ tovipna tuꞩtaste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,fam,sp,uniq,strg
nēmatər tɔ̄rəŋ at alèɣt,1,A,PV,NoPtcl,npst,ind,neg,npfv,H,pl,zero,top,sp,uniq,strg,U,abst,npron,undef,nonsp,nuniq,nfam
tūp tēne sawit aleɣt,1,A,PV,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,I,abst,barenp,typid,sp,nuniq,nfam
" akw tuu̯ toχ ɔ̄lnènəl χalt tɔ̄lı̮ɣ rēpı̮ɣtasət, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,uniq,nfam
"paı̮ɣ ı̯ɔ̄ŋχtsasanəl, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
"mań tɔ̄lı̮ɣ, kiwrenəl χūl pāɣ wı̮ɣuw",1,A,PV,NoPtcl,npst,ind,none,pfv,1,pl,zero,act,sp,uniq,sap,I,mass,barenp,act,sp,uniq,strg
" χūl mȯssal paɣ χartsanəl, ",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,I,mass,barenp,act,sp,uniq,strg
 at ı̯anı̮ɣ sāt pɔt paɣ ta ı̯ɔ̄ŋχtasət! ,1,A,PV,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,pl,barenp,ref,sp,uniq,weak
manare urtew? ,1,A,PV,NoPtcl,npst,ind,quest,npfv,1,pl,zero,top,sp,uniq,sap,U,abst,npron,undef,nonsp,nuniq,nfam
manakem wermeɣən ,1,A,PV,NoPtcl,npst,ind,none,npfv,2,sg,zero,typid,nonsp,nuniq,sap,U,abst,npron,undef,nonsp,nuniq,nfam
tii wȯı̯en! ,1,A,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,typid,nonsp,nuniq,sap,I,abst,npron,ref,sp,nuniq,strg
kȯlŭmn ı̯uu̯ tūlilŭm,1,AP,V,NoPtcl,npst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg
tɔ̄r lomt totəs,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam
" sām mańsiŋ tɔ̄r arsinəl tuu̯ neχsalaste, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
"ı̯uu̯ tūləste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
 muln kȯl au̯lan ta nēɣəste,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
āni wisanəl,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,typid,nonsp,nuniq,nfam,I,sg,barenp,act,sp,uniq,strg
" ta mań χāl'n, tuu̯ nēɣèln,",1,AP,V,NoPtcl,npst,imp,none,pfv,2,pl,zero,act,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg
 χɔ̄tı̯utna ɔ̄ń ꞩawe,1,P,AV,NoPtcl,npst,ind,none,npfv,U,abst,npron,undef,nonsp,nuniq,nfam,I,sg,zero,act,sp,uniq,strg
" tai maɣəs ꞩar koı̯up at rāteɣt, ",1,A,PV,NoPtcl,npst,ind,neg,npfv,H,pl,zero,act,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam
naŋ ti kȯı̯up rāten - ,1,A,APV,NoPtcl,npst,imp,none,npfv,2,sg,pron,ref,sp,uniq,sap,I,sg,demnp,ref,sp,uniq,nfam
 akw ı̯ɔ̄rn sunènəl kȯı̯up ti tūls,1,A,APV,ti,pst,ind,none,pfv,H,sg,barenp,ref,sp,nuniq,nfam,I,sg,barenp,act,sp,uniq,strg
wos wı̮ɣte,1,AP,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 koı̯up tawen ta maı̯wès ,1,P,PV,ta,pst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
kātèn ta wiste,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
" wiste, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
takwi katəl ı̯il'piliɣ ulan isəltaste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
