Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 mēn tawēn pū̬rlən matər at ɔ̄n’ꞩimēn.,1,A,APV,NoPtcl,npst,ind,neg,npfv,1,du,pron,act,sp,uniq,sap,U,abst,npron,ref,nonsp,nuniq,nfam
" naŋ manər ti sawit pupı̮ɣ ɔn’ꞩeɣən,",1,A,APV,NoPtcl,npst,ind,none,npfv,2,sg,pron,act,sp,uniq,sap,I,abst,demnp,typid,nonsp,nuniq,weak
" men pū̬rlən matər at ɔn’ꞩimēn,",1,A,APV,NoPtcl,npst,ind,neg,npfv,1,du,pron,act,sp,uniq,sap,U,abst,npron,ref,nonsp,nuniq,nfam
 joləl minam lāɣləŋ uj kɔnse χartum l’ɔ̄ŋχe at χɔ̄nteɣt. ,1,A,PV,NoPtcl,npst,ind,neg,npfv,H,du,zero,top,sp,uniq,strg,I,sg,possnp,typid,nonsp,nuniq,nfam
 „pupı̮ɣn ertɒl l’ul’ latəŋ ta lawsən. ,1,A,PV,ta,pst,ind,none,pfv,2,du,zero,act,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,weak
 tɔru̮mn ertal l’ul’ latəŋ ta lawsən. ,1,A,PV,ta,pst,ind,none,pfv,2,sg,zero,top,sp,uniq,sap,I,abst,barenp,ref,sp,uniq,weak
ńɔ̄χsēn alası̮ɣ.,1,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,A,sg,possnp,top,sp,uniq,strg
alastēn.,1,AP,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ɔ̄s alastēn.,1,AP,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ɔ̄s alastēn.,1,AP,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ɔ̄s alastēn.,1,AP,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ań ńila ńɔχs ti alası̮ɣ.,1,A,PV,ti,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,A,pl,barenp,act,sp,uniq,strg
ālası̮ɣ saka sēməl.,1,A,VP,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,A,sg,barenp,act,sp,uniq,strg
-am ńɔ̄χsum manrı̮ɣ ı̯ol alaslen,1,AP,PV,NoPtcl,pst,ind,quest,pfv,H,du,zero,act,sp,uniq,sap,A,sg,possnp,act,sp,uniq,strg
"-anum, lāwi, ta kɔꞩ pȯχten!",1,A,PV,NoPtcl,npst,imp,none,pfv,H,du,zero,top,sp,uniq,sap,H,sg,pron,act,sp,uniq,sap
"matər āt'i tēpı̯alasət, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,U,abst,npron,undef,nonsp,nuniq,nfam
ꞩaı̯ aı̯sət.,1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,mass,barenp,ref,sp,nuniq,nfam
χuı̯ne mate ꞩɔ̄pitɒs (misχum).,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak
"nēnan kinsi, ",1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,H,du,pron,act,sp,uniq,sap
taχ anum nēn nɔŋχ tuı̯alēn.,1,A,PAV,NoPtcl,npst,imp,none,pfv,H,du,pron,top,sp,uniq,sap,H,sg,pron,act,sp,uniq,sap
pal' ńārɣum tou̯melēn.,1,AP,PV,NoPtcl,npst,imp,none,pfv,H,du,zero,top,sp,uniq,sap,I,du,possnp,ref,sp,uniq,weak
"pal' ńārɣŭm tou̯meı̯en,",1,A,PV,NoPtcl,npst,ind,none,pfv,H,du,zero,top,sp,uniq,sap,I,du,possnp,top,sp,uniq,strg
"wɔ̄ŋχŭp almaı̯ēn,",1,A,PV,NoPtcl,npst,imp,none,pfv,H,du,zero,act,sp,uniq,sap,I,sg,barenp,typid,nonsp,nuniq,nfam
anum wil't ı̯atta ı̯unı̮ɣte:lēn.,1,AP,PV,ta,npst,imp,none,pfv,H,du,zero,top,sp,uniq,sap,H,sg,pron,act,sp,uniq,sap
"χańꞩtasaɣe,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,du,zero,top,sp,uniq,strg
pal' ńārı̮ɣ kos tou̯malitēn.,1,AP,PV,NoPtcl,npst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,I,du,barenp,fam,sp,uniq,strg
wōŋχŭp wissı̮ɣ ,1,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,sg,barenp,fam,sp,nuniq,strg
wil't ı̯at ta ı̯uniı̮ɣtasten.,1,AP,PV,ta,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,I,sg,barenp,fam,sp,uniq,strg
"ta sāŋχwasaste,",1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" - āɣikwe, ul'a tuꞩteln!",1,AP,PV,NoPtcl,npst,imp,none,pfv,H,sg,barenp,ref,sp,uniq,sap,I,sg,barenp,uniq,sp,uniq,nfam
"- ı̯aɣpı̮ɣan, tı̮ɣ wowen.",1,A,PV,NoPtcl,npst,imp,none,pfv,H,sg,barenp,top,sp,uniq,sap,H,pl,possnp,ref,sp,uniq,weak
ti totimutkweı̮ɣ ti χɔ̄tal χottal' totipeı̯aɣuw.,1,AP,PV,NoPtcl,npst,ind,none,pfv,H,pl,zero,top,sp,uniq,sap,H,du,barenp,act,sp,uniq,strg
 -naŋ A145totamutaɣən ti χɔ̄tal maı̯ χotum wariı̯aɣuw̯,1,AP,PV,NoPtcl,npst,ind,none,pfv,H,pl,zero,top,sp,uniq,sap,H,du,possnp,act,sp,uniq,strg
{manau̯n} maı̯eı̯n!,1,AP,V,NoPtcl,npst,imp,none,pfv,H,sg,zero,act,sp,uniq,sap,H,du,zero,top,sp,uniq,strg
"-atim, at mı̮ɣaɣŭm.",1,AP,V,NoPtcl,npst,ind,neg,pfv,H,sg,zero,top,sp,uniq,sap,H,du,zero,act,sp,uniq,strg
 tēɣaɣuw.,1,AP,V,NoPtcl,npst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,H,du,zero,top,sp,uniq,strg
kan ta wāreɣt.,1,A,PV,ta,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,strg
"kan wārsət,",1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,sg,barenp,top,sp,uniq,strg
"mir susne χum tān ta sāŋkwəlti, ",1,A,PV,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,nfam
" ı̯ol poı̯ltaste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
MSX{ta χumı̮ɣ} wos mı̮-|ɣaɣe.,1,AP,APV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,du,demnp,act,sp,uniq,strg
ań saŋkwəltane χum ɔs χul' ɔ̄tər saŋkwəlti ,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,fam,sp,uniq,strg,H,sg,barenp,ref,sp,uniq,weak
 ı̯ol ta nēɣəste.,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak
-maı̯eɣēn!,1,AP,V,NoPtcl,npst,imp,none,pfv,H,pl,zero,act,sp,uniq,strg,H,du,zero,act,sp,uniq,strg
mı̮ɣaɣuu̯.,1,AP,V,NoPtcl,npst,ind,none,pfv,H,pl,zero,act,sp,uniq,sap,H,du,zero,act,sp,uniq,strg
manər wareɣt.,1,A,PV,NoPtcl,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,U,abst,npron,undef,nonsp,nuniq,nfam
-nēnan am {at} mı̮ɣaɣum!,1,AP,PAV,NoPtcl,npst,ind,neg,pfv,H,sg,pron,top,sp,uniq,sap,H,du,pron,act,sp,uniq,sap
man taχ matər wārew {ta warew},1,A,APV,ta,npst,ind,none,pfv,H,pl,pron,top,sp,uniq,sap,U,abst,npron,undef,nonsp,nuniq,nfam
pupı̮ɣ ɔ̄ńꞩiı̯en man āti?,1,A,PV,NoPtcl,npst,ind,quest,npfv,H,du,pron,top,sp,uniq,sap,H,sg,barenp,typid,nonsp,nuniq,nfam
wowiluw.,1,AP,V,NoPtcl,npst,ind,none,pfv,H,pl,zero,top,sp,uniq,sap,H,sg,zero,act,sp,uniq,strg
saŋkwəl- | tap ta ńartumtaste.,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,weak
sāχitee χɔ̄t āŋχwəs ,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,weak
naŋk ānkwaln nɔŋχ ta taɣataste.,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
katētəl nɔŋχ ti urmı̮ɣtaste.,1,AP,V,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
nɔŋχ tuꞩtəste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
ɔ̄s nɔŋχ tuꞩtite.,1,AP,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
-aū manrı̮ɣ totı̯aɣum.,1,AP,V,NoPtcl,npst,ind,quest,npfv,H,sg,pron,top,sp,uniq,sap,H,du,zero,act,sp,uniq,strg
permtaχ- | tame mus siraı̯ ta lēı̮ɣmataste.,1,AP,PV,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,weak
Χ.Ɔ. ńol kwalɣe ńirasɒs.,1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg,I,sg,possnp,ref,sp,nuniq,nfam
ań alam utanəl alasunəl,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,pl,possnp,top,sp,uniq,strg,H,pl,possnp,act,sp,uniq,strg
"-an, χutəl totı̮ɣlasaɣən",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,du,zero,act,sp,uniq,strg
akw tuu̯ ı̯uu̯ = toteɣı̯n.,1,AP,V,NoPtcl,npst,imp,none,pfv,H,sg,zero,top,sp,uniq,strg,H,du,zero,top,sp,uniq,strg
"-a, lāwi tot'ı̯aɣŭm.",1,AP,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,sap,H,du,zero,top,sp,uniq,strg
sāχite masɒs.,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,fam,sp,uniq,strg
"ta χumı̯aɣe χotəl tatı̮ɣlasaɣe,",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,du,barenp,act,sp,uniq,strg
"ńɔχəs alam mānəln, tuu̯ tatotsaɣe.",1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,du,zero,top,sp,uniq,strg
ı̯aɣāɣite kēr sāli ūı̯ χumı̮ɣ ɔ̄ńꞩite,1,AP,APV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,top,sp,uniq,strg,H,sg,barenp,uniq,sp,uniq,nfam
tau̯ ta lakwꞩite,1,AP,AV,ta,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
"tēχam, anŭm ul alèln! ",1,AP,PV,NoPtcl,npst,imp,neg,pfv,2,sg,zero,act,sp,uniq,sap,A,sg,pron,act,sp,uniq,sap
lakwsite,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
 lakwsalite,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
"e-e, tēχam, anŭm ul alèln! ",1,AP,PV,NoPtcl,npst,imp,neg,pfv,2,sg,zero,act,sp,uniq,sap,A,sg,pron,top,sp,uniq,sap
ɔ̄s lakwsiı̯anəl. ,1,AP,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
"e, χuma, χuma, anum ul alelèn. ",1,AP,PV,NoPtcl,npst,imp,neg,pfv,2,pl,zero,act,sp,uniq,sap,A,sg,pron,act,sp,uniq,sap
"ei, χuma, anum ul alelen. ",1,AP,PV,NoPtcl,npst,imp,neg,pfv,2,pl,zero,act,sp,uniq,sap,A,sg,pron,act,sp,uniq,sap
tɔ̄rəw ɔ̄ı̯ka lakwsaliı̯anəl.,1,AP,PV,NoPtcl,npst,ind,none,npfv,A,pl,zero,act,sp,uniq,strg,A,sg,barenp,top,sp,uniq,strg
"eı̯, χuma, nan tai manər wāriı̯en? ",1,A,APV,NoPtcl,npst,ind,quest,npfv,2,pl,pron,ref,sp,uniq,sap,I,abst,npron,typid,nonsp,nuniq,nfam
anŭm alūŋkwe kusiı̯en-a?,1,A,PV,NoPtcl,npst,ind,quest,npfv,2,pl,zero,act,sp,uniq,sap,1,sg,pron,act,sp,uniq,sap
anum ul alelen. ,1,AP,PV,NoPtcl,npst,imp,neg,pfv,2,pl,zero,top,sp,uniq,sap,A,sg,pron,act,sp,uniq,sap
ɔ̄s lakwsite,1,AP,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
anum ul alelen. ,1,AP,PV,NoPtcl,npst,imp,neg,pfv,2,pl,zero,act,sp,uniq,sap,A,sg,pron,act,sp,uniq,sap
ta lakwsaliı̯anəl. ,1,AP,V,ta,npst,ind,none,npfv,A,pl,zero,top,sp,uniq,strg,A,sg,zero,act,sp,uniq,strg
anum ul ālelen. ,1,AP,PV,NoPtcl,npst,imp,neg,pfv,2,pl,zero,top,sp,uniq,sap,A,sg,pron,act,sp,uniq,sap
potəlma wāreɣt! ,1,A,PV,NoPtcl,npst,ind,none,npfv,A,pl,zero,top,sp,uniq,strg,I,abst,barenp,typid,sp,uniq,strg
"ta ti,  lāwi, ńarten.",1,A,PV,ta,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,mass,pron,top,sp,uniq,strg
"am ta ti teɣŭm, pusmeɣum. ",1,A,APV,ta,npst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,I,mass,pron,act,sp,uniq,strg
"ı̯a, sāt pis āwi manurəl punsiı̯anuu̯?",1,AP,PV,NoPtcl,npst,ind,quest,pfv,1,pl,zero,act,sp,uniq,sap,I,pl,barenp,fam,sp,uniq,strg
koni pis āwi χasumtasanəl ,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
tau̯ kolas ta ńarti. ,1,A,APV,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,I,mass,barenp,fam,sp,uniq,strg
"mat ı̯anı̮ɣ mat χuriɣ ɔ̄ńꞩɒs, ",1,A,PV,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,weak
"ań uı̯anum, ı̯un ta nārɒptawesət. ",X,P,PV,ta,pst,ind,none,pfv,A,pl,possnp,fam,sp,uniq,strg,A,pl,possnp,act,sp,uniq,strg
manurəl kon pattiı̯anum. ,1,AP,V,NoPtcl,npst,ind,quest,pfv,1,sg,zero,top,sp,uniq,sap,A,pl,zero,top,sp,uniq,strg
taχ kēr sāli ūı̯n ta alawem taχ.,1,P,AV,ta,npst,ind,none,pfv,H,sg,barenp,fam,sp,uniq,strg,H,sg,zero,top,sp,uniq,sap
"ı̯uu̯ kolɒs χurɣe alməs, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
"kolas ńakwəl ta tittite, ",1,AP,V,ta,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
"ti tittiste, ",1,AP,V,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
ti taı̯apilum!,1,AP,V,ti,npst,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,2,sg,zero,act,sp,uniq,sap
naŋ - anum manurəl taı̯apilən saka pāŋkəŋ ɔ̄sum.,1,AP,APV,NoPtcl,npst,ind,quest,pfv,2,sg,pron,act,sp,uniq,sap,1,sg,pron,act,sp,uniq,sap
anŭm uꞩ taı̯apeln ,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,1,sg,pron,act,sp,uniq,sap
ań tot χul'tum ūı̯anən an kit āwi sakwatawes. ,1,P,APV,NoPtcl,pst,ind,none,pfv,A,pl,possnp,fam,sp,uniq,strg,I,du,barenp,fam,sp,uniq,strg
"tuu̯l supane masapɒs, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,typid,sp,uniq,weak
sat ērı̮ɣ ɔ̄ńꞩeɣŭm,1,A,PV,NoPtcl,npst,ind,none,npfv,1,sg,zero,top,sp,uniq,sap,I,pl,barenp,typid,nonsp,nuniq,nfam
taı̯anum erɣiı̯anum,1,AP,PV,NoPtcl,npst,ind,none,pfv,1,sg,zero,top,sp,uniq,strg,I,pl,pron,act,sp,uniq,strg
sȯp sūpən palı̮ɣχarteln ,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,possnp,uniq,sp,uniq,weak
sūpən pal=χarteln,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,possnp,uniq,sp,uniq,strg
tuwl' nor ul'a paltsət. ,0,A,V,NoPtcl,pst,ind,none,pfv,A,pl,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam
"ul'an paltsanəl, ",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,pl,zero,top,sp,uniq,strg
"ta āraꞩt ta rau̯tite,",1,AP,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,mass,zero,act,sp,uniq,strg
ta kinsite. ,1,AP,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
akw ert K.SU ańꞩar puŋk ti χɔ̄ntaste. ,1,AP,PV,ti,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam
"ta wiste, ",1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
ı̯uu̯ ta totɒste,1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
" ı̯uw̯ totɒste, ",1,AP,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
apꞩite osma ı̯oli palt tuu̯ pinɒste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
ı̯aɣaɣitèn ta totwès kuꞩńèꞩ pālt. ,1,P,AV,ta,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
ta l'ɔ̄ŋχ χosit ta kɔ̄ı̯anəl.  ,1,AP,V,ta,npst,ind,none,npfv,A,pl,zero,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
"ta kɔ̄ı̯anəl, ",1,AP,V,ta,npst,ind,none,npfv,A,pl,zero,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
ı̯aŋk tāra ta atintiı̯anəl,1,AP,V,ta,npst,ind,none,npfv,A,pl,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
 ı̯āŋk ātinti. ,1,A,PV,NoPtcl,npst,ind,none,npfv,A,sg,zero,top,sp,uniq,strg,I,mass,barenp,ref,sp,uniq,weak
tuwl ı̯aŋk sakwatuŋkwe ta patsət.,1,A,PV,ta,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,I,mass,barenp,ref,sp,uniq,strg
ı̯āŋk tara ti pásat:sanəl.,1,AP,V,ti,pst,ind,none,pfv,A,pl,zero,top,sp,uniq,strg,I,mass,zero,typid,nonsp,nuniq,nfam
"tara, pasatsanəl, ",1,AP,V,NoPtcl,pst,ind,none,pfv,A,pl,zero,top,sp,uniq,strg,I,mass,zero,typid,nonsp,nuniq,nfam
nɔ̄ŋχ ti χartsanəl ,1,AP,V,ti,pst,ind,none,pfv,A,pl,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
"ı̯a, ta, laweɣt, manurəl pȯl'iɣ sakwatiluw! ",1,AP,V,NoPtcl,npst,ind,quest,pfv,1,pl,zero,act,sp,uniq,sap,I,sg,zero,top,sp,uniq,strg
kēr pȯꞩka χum wariı̯anəl? ,1,AP,PV,NoPtcl,npst,ind,quest,pfv,A,pl,zero,top,sp,uniq,strg,I,sg,barenp,act,sp,uniq,strg
"tɔ̄rewn ꞩaχnil kos ı̯unı̮ɣtalàwe, ",1,P,V,NoPtcl,npst,ind,none,pfv,A,sg,barenp,act,sp,uniq,weak,I,sg,zero,top,sp,uniq,strg
nēm χotum  ta wāriı̯anəl.,1,AP,V,ta,npst,ind,none,npfv,A,pl,zero,act,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
"puŋk pattal kos l'ēŋktasite,",1,AP,V,NoPtcl,npst,ind,none,npfv,A,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
"poꞩka takəꞩ pinelen,  pattate tı̮ɣl'e l'al't. ",1,AP,PV,NoPtcl,npst,imp,none,pfv,2,pl,zero,act,sp,uniq,sap,I,sg,barenp,act,sp,uniq,strg
ań pȯꞩka pattate ān'təl ta l'ēŋktasaste . ,1,AP,PV,ta,pst,ind,none,pfv,A,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,weak
akw ti ꞩos ı̯anɣı̮ɣ ti manliɣtasanəl. ,1,AP,V,ti,pst,ind,none,pfv,A,pl,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg
koꞩaı̯anəl kon ti lēwmatsanəl.,1,AP,PV,ti,pst,ind,none,pfv,A,pl,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
"lēwmatsanəl, ",1,AP,V,NoPtcl,pst,ind,none,pfv,A,pl,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
ta sunsiɣliı̯anəl ,1,AP,V,ta,npst,ind,none,npfv,A,pl,zero,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
"akw ert pal'=asèt ti χɔ̄ntsanəl, ",1,AP,V,ti,pst,ind,none,pfv,A,pl,zero,top,sp,uniq,strg,I,sg,zero,ref,sp,uniq,weak
ı̯a manurəl ı̯altaptiluw̯? ,1,AP,V,NoPtcl,npst,ind,quest,pfv,1,pl,zero,top,sp,uniq,sap,H,sg,zero,act,sp,uniq,strg
"sipɣiluw, ",1,AP,V,NoPtcl,npst,ind,none,npfv,1,pl,zero,top,sp,uniq,sap,I,sg,zero,act,sp,uniq,strg
"ɔs ɔ̄χsɒr ɔ̄ı̯ka tur χɔ̄sit ta pēlwès, ",X,P,V,ta,pst,ind,none,pfv,I,sg,zero,act,sp,uniq,strg,A,sg,barenp,top,sp,uniq,strg
χotum lawi ɔs nɔŋχ ı̯altupte:len ,1,AP,V,NoPtcl,npst,imp,none,pfv,2,pl,zero,act,sp,uniq,sap,A,sg,zero,top,sp,uniq,strg
anum χāpɣa puŋna sup tı̮ɣ totelen. ,1,AP,PV,NoPtcl,npst,imp,none,pfv,2,pl,zero,top,sp,uniq,sap,A,sg,barenp,typid,nonsp,nuniq,nfam
koꞩaı̯ ɔs ı̯altŭptawes.,X,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
ań āpꞩitēn wȯı̯wès ,1,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
